chrom,start,end,CC_R1,CC_R2,CC_R3,TCF7L2_R1,TCF7L2_R2,TCF7L2_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,3405109,3405609,4.342288688686143,4.689405930409386,5.035441609848419,4.68515430456389,5.1857062471087225,7.443805553258595,"['PRDM16', 'ARHGEF16']","[0.0219373749771439, -0.282325260167606]","[0.909176422934622, 0.0410513236628998]","['AR', 'ARNTL', 'GLI3', 'HINFP', 'ISL1', 'KLF14', 'MYB', 'NFIX', 'NPAS1', 'PRDM14', 'RARA', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX6', 'SP2', 'TFCP2L1', 'TP53', 'TP63', 'TP73', 'ZFX', 'ZNF711']","['ZNF263', 'ZNF449', 'ZNF770']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,7401651,7402231,2.562558387521924,2.477394454685653,2.0833139451060902,3.694303936993993,3.779640041318772,4.774705272177535,,,,"['ATF3', 'BATF', 'CRX', 'DMRT1', 'DMRTB1', 'FOSL1', 'FOSL2', 'FOXD3', 'FOXK2', 'FOXO1', 'GSC', 'JUN', 'JUNB', 'KLF14', 'KLF5', 'MAZ', 'NKX3-2', 'OTX2', 'PITX1', 'PRDM10', 'RBPJ', 'RFX6', 'SP5', 'TAL1', 'TBX5', 'ZIC1', 'ZNF263', 'ZNF341']","['ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PRDM1', 'PRDM10', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZBTB6', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF169', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF292', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,9163811,9164311,1.225440779912731,1.430684191508992,1.1189117983923118,1.3032136492565536,1.5041918584928176,1.5936678264374295,"['H6PD', 'GPR157']","[-0.0157326484935565, -0.482144918795906]","[0.931153253354094, 9.30959975253845e-06]","['ATF1', 'ATF2', 'ATF3', 'ATF7', 'BATF', 'CREB5', 'CRX', 'EBF1', 'FOSL1', 'FOSL2', 'GSC', 'JUN', 'JUNB', 'KLF5', 'LEF1', 'MITF', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NKX3-1', 'NR2F1', 'NR2F2', 'NR2F6', 'PITX1', 'PLAGL1', 'PRDM10', 'RARA', 'RELA', 'RUNX1', 'SOX6', 'STAT4', 'TBR1', 'TCF7L1', 'THRA', 'THRB']","['ATF2', 'BCL11A', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'MZF1', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'WT1', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF121', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF426', 'ZNF449', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF707', 'ZNF76', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,10339603,10340103,2.7672321424265087,3.3346774388555454,2.7595474017733066,3.351572642053953,3.881875464125249,3.386766742237346,"['PGD', 'KIF1B']","[0.309661373653202, -0.0614185383835018]","[0.0018737004089801, 0.611032288687921]","['ARNTL', 'ATOH1', 'BHLHA15', 'CDX4', 'ELF4', 'EOMES', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'NEUROG2', 'NFIX', 'NKX2-5', 'NPAS1', 'OLIG2', 'PGR', 'PLAGL1', 'RARA', 'RELA', 'SOX10', 'SOX15', 'SOX17', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX7', 'SPI1', 'TAL1', 'TBR1', 'TBX5', 'TBX6', 'TCF4', 'TGIF2', 'TRPS1', 'TWIST2', 'ZBTB7A']","['ATF2', 'GLIS1', 'KLF1', 'KLF8', 'KLF9', 'PRDM1', 'PRDM10', 'ZBTB21', 'ZNF366', 'ZNF629', 'ZNF660']",['H3K4me1']
chr1,10528326,10528850,1.6864298519845158,2.2939887589201278,1.622107475972833,2.4449063104476707,2.743467624495308,3.663689055637551,"['PEX14', 'CASZ1']","[0.0759124994933946, -0.455342755037351]","[0.413998143316386, 0.0009290215000576]","['ATF3', 'BATF', 'CEBPA', 'DLX1', 'DLX2', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'EN1', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOSL1', 'FOSL2', 'FOXO1', 'GABPA', 'GLI2', 'HOXA11', 'HOXA13', 'HOXD11', 'JUN', 'JUNB', 'LHX1', 'LHX3', 'MEIS1', 'NANOG', 'NKX3-2', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'TAL1', 'TBR1', 'TBX21', 'TBX5', 'TBX6', 'TEAD1', 'TEAD3', 'TEAD4', 'TGIF1', 'TGIF2', 'ZNF263', 'ZNF7']","['BCL11A', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'MAZ', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZEB1', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF518A', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,12477987,12478487,2.3741163929570424,2.317177294663687,2.289872768279484,2.348871740229437,2.718379226042136,2.958927234753533,"['DHRS3', 'VPS13D']","[-0.197680839540702, -0.0825873921538686]","[0.242564804029606, 0.614056236295698]","['AR', 'ESRRG', 'FOXA1', 'FOXA2', 'FOXM1', 'HOXC9', 'KLF14', 'MYBL1', 'MYBL2', 'MYC', 'NKX3-1', 'NPAS4', 'PGR', 'PITX1', 'RARA', 'SOX10', 'SOX15', 'SOX17', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'STAT6', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TFAP2C', 'THRB', 'ZFP57', 'ZNF189', 'ZNF263', 'ZNF264', 'ZNF467', 'ZNF711']","['ARNT', 'ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'CTBP1', 'EGR2', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'KLF9', 'L3MBTL2', 'MAZ', 'MYNN', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM1', 'PRDM10', 'PRDM4', 'PRDM6', 'REPIN1', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB10', 'ZBTB11', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB44', 'ZBTB48', 'ZBTB49', 'ZBTB7A', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF10', 'ZNF121', 'ZNF146', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF19', 'ZNF2', 'ZNF221', 'ZNF223', 'ZNF239', 'ZNF24', 'ZNF263', 'ZNF302', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF37A', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF423', 'ZNF449', 'ZNF488', 'ZNF501', 'ZNF510', 'ZNF513', 'ZNF518A', 'ZNF549', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF600', 'ZNF610', 'ZNF623', 'ZNF624', 'ZNF629', 'ZNF639', 'ZNF645', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF770', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5A', 'ZSCAN5C', 'ZXDB']",['H3K27ac']
chr1,21022234,21022817,1.6694609050016218,2.067504345232028,1.2619997052113867,2.267584777203314,2.8670946162977624,2.303955351118958,"['HP1BP3', 'EIF4G3']","[0.144815084331516, 0.221801682886618]","[0.13205099091712, 0.0260398770425839]","['ATF3', 'BACH1', 'BACH2', 'BATF', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'EN1', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOSL1', 'FOSL2', 'FOXD3', 'FOXO1', 'GABPA', 'ISL1', 'JUN', 'JUNB', 'MAFA', 'MAFB', 'MAFF', 'MAFK', 'MYF5', 'MYOG', 'NANOG', 'NFATC1', 'NFE2', 'NFE2L2', 'NKX6-1', 'OLIG2', 'PRDM1', 'PTF1A', 'RARA', 'RUNX1', 'RUNX2', 'SPDEF', 'SPI1', 'TAL1', 'TBX5', 'TCF21', 'TFAP4', 'TWIST2', 'ZNF189']","['ATF2', 'BCL11A', 'BCL11B', 'CTBP1', 'ELF4', 'FEZF1', 'GLI2', 'GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM1', 'PRDM10', 'PRDM4', 'PRDM6', 'REPIN1', 'SCRT1', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB7A', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF449', 'ZNF501', 'ZNF518A', 'ZNF549', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF600', 'ZNF610', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,23377172,23377672,2.4713505335755968,2.614302438299563,3.0776980421280213,2.955964024313135,2.9161222229269304,2.609276673359328,"['ZNF436', 'TCEA3']","[-0.253382233812709, -0.437300978254822]","[0.0064179106241731, 0.306957411275468]","['AR', 'CEBPA', 'E2F3', 'E2F4', 'GRHL2', 'KLF14', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIX', 'NKX2-2', 'NKX3-2', 'P300', 'PGR', 'PITX1', 'POU1F1', 'SOX3', 'SP5', 'TAL1', 'TBP', 'TBX20', 'TGIF1', 'TGIF2', 'THRB', 'ZFP57', 'ZIC1', 'ZIC3', 'ZNF264']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB8A', 'ZEB1', 'ZFHX2', 'ZFP37', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF701', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,39852637,39853137,4.239403193959059,4.807506299258287,5.042450343820702,5.401658146578737,5.505461110531024,5.773088570697777,"['BMP8B', 'TRIT1']","[-0.531078151888518, -0.220450823492437]","[0.0001191853700631, 0.0060930044040237]","['AR', 'ARNT', 'BARX1', 'CRX', 'DLX2', 'EBF1', 'EN1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'HOXD13', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIX', 'NKX3-1', 'NKX3-2', 'ONECUT2', 'P300', 'PBX2', 'PITX1', 'POU1F1', 'TBP', 'TGIF1', 'TGIF2', 'ZIC1', 'ZNF263']","['ATF2', 'BCL11B', 'BCL6B', 'FEZF1', 'GFI1B', 'GLI2', 'INSM2', 'KLF10', 'KLF7', 'KLF8', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP7', 'WT1', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF18', 'ZNF184', 'ZNF2', 'ZNF221', 'ZNF24', 'ZNF335', 'ZNF341', 'ZNF366', 'ZNF398', 'ZNF488', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF596', 'ZNF610', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF664', 'ZNF670', 'ZNF792', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,42462501,42463051,2.1947401369523645,2.333381331689307,2.0597289900534155,2.747459574906036,2.707869641052467,2.5229927797130918,"['PPCS', 'CCDC30']","[0.25675750622751, -1.17764755123525]","[0.0130939403027481, 6.44511166516496e-09]","['ARNT', 'BHLHE41', 'EHF', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HIF1A', 'HOXA10', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'NKX3-1', 'PBX2', 'PGR', 'TFAP2A', 'TFAP2C', 'TGIF2', 'THRB', 'TRPS1', 'ZNF416']","['GLIS1', 'KLF10', 'L3MBTL2', 'MAZ', 'MYNN', 'PATZ1', 'PKNOX1', 'SP2', 'TRIM28', 'ZBTB20', 'ZNF189', 'ZNF366', 'ZNF510', 'ZNF558', 'ZNF561', 'ZNF629', 'ZNF660', 'ZNF692', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
