chrom,start,end,CC_R1,CC_R2,CC_R3,FOXA1_R1,FOXA1_R2,FOXA1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1064016,1064516,6.902937692888098,6.140467864559271,3.5438507128134886,13.576709728676503,11.120768948777998,9.944316078708122,['AGRN'],[0.35807944810062],[0.0015054413181226],"['AR', 'ARNTL', 'ASCL1', 'ATF1', 'ATF3', 'BATF', 'DMC1', 'E2F4', 'E2F6', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETV1', 'FOSL1', 'FOSL2', 'GABPA', 'JUN', 'JUNB', 'KLF1', 'KLF5', 'MAFA', 'MEIS1', 'MYOD1', 'NFIL3', 'NFIX', 'NPAS1', 'PTF1A', 'RELA', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'SPDEF', 'TAL1', 'TBX20', 'TBX5', 'TCF12', 'TGIF1', 'TGIF2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZIC3', 'ZNF519']","['ARNT', 'BCL11A', 'CTCF', 'EGR2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'KLF9', 'MAZ', 'OSR2', 'PATZ1', 'PRDM10', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF76', 'ZNF770', 'ZNF785', 'ZSCAN23', 'ZXDB']","['H3K4me1', 'H3K4me3']"
chr1,1250755,1251255,3.111746353200021,3.404718855895411,3.910743492493,5.417716004152881,5.370783845945712,5.230890245021803,['C1QTNF12'],[0.176637556053098],[0.589999172154913],"['AR', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV4', 'FLI1', 'MEIS1', 'NANOG', 'NFATC1', 'NFIX', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'NRF1', 'RFX6', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'TAL1', 'TBX5', 'TBX6', 'TGIF1', 'TGIF2', 'TP53', 'TP63', 'TP73', 'ZFX', 'ZNF416', 'ZNF711']","['BCL11A', 'PATZ1', 'TRIM28', 'ZBTB17', 'ZBTB44', 'ZBTB6', 'ZFHX2', 'ZNF263', 'ZNF394', 'ZNF600', 'ZNF692', 'ZSCAN21']",['H3K27ac']
chr1,6414642,6415142,4.226125723161708,4.490789930797078,5.467258315375791,11.22142404299939,11.347718686142578,11.552955444381496,"['HES2', 'ACOT7']","[-0.570722449412565, 0.216824052322734]","[0.243757220198161, 0.0349854349255787]","['CRX', 'EBF2', 'FOXD3', 'GRHL2', 'HOXD11', 'NANOG', 'NFYA', 'NKX2-1', 'NKX2-2', 'NKX3-2', 'PITX1', 'PLAGL1', 'SMAD3', 'SOX3', 'SOX9', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'WT1', 'ZEB1', 'ZNF136', 'ZNF263', 'ZNF467']","['CTCF', 'EGR2', 'GLIS1', 'GLIS2', 'KLF16', 'KLF17', 'KLF9', 'L3MBTL2', 'PATZ1', 'PRDM4', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB6', 'ZBTB8A', 'ZFHX2', 'ZIC2', 'ZNF223', 'ZNF239', 'ZNF266', 'ZNF335', 'ZNF423', 'ZNF561', 'ZNF680', 'ZNF770', 'ZSCAN18', 'ZSCAN4']","['H3K27ac', 'H3K4me1']"
chr1,7401549,7402231,2.7250364189133114,2.697686905514197,2.240389675671358,5.194471746131922,4.304398630673747,3.968093338411474,,,,"['ATF3', 'BATF', 'CDX2', 'CDX4', 'CRX', 'DMRT1', 'DMRTB1', 'FOSL1', 'FOSL2', 'FOXD3', 'FOXK2', 'FOXO1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'JUN', 'JUNB', 'KLF14', 'KLF5', 'MAZ', 'MEF2A', 'MEF2B', 'MEF2C', 'NR2F6', 'ONECUT1', 'ONECUT2', 'PITX1', 'RARA', 'RBPJ', 'RFX6', 'SP5', 'TAL1', 'TBX5', 'THRB', 'ZIC1', 'ZNF263', 'ZNF341']","['ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PRDM1', 'PRDM10', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZBTB6', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF169', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF292', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,9163815,9164315,1.2297031826254707,1.4340987122524504,1.1186710501056114,1.6022464833990306,1.696487752529212,1.5171698960386442,"['H6PD', 'GPR157']","[0.157222787989948, 0.189593224658083]","[0.278641825694083, 0.0542904334360518]","['ATF1', 'ATF2', 'ATF3', 'ATF7', 'BATF', 'CREB5', 'CRX', 'EBF1', 'FOSL1', 'FOSL2', 'GSC', 'JUN', 'JUNB', 'KLF5', 'LEF1', 'MITF', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NR2F1', 'NR2F2', 'NR2F6', 'PITX1', 'PLAGL1', 'PRDM10', 'RARA', 'RELA', 'RUNX1', 'SOX6', 'STAT4', 'TBR1', 'TCF7L1', 'THRA', 'THRB']","['ATF2', 'BCL11A', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'MZF1', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'WT1', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF121', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF426', 'ZNF449', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF707', 'ZNF76', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,10339602,10340102,2.7402785825976794,3.3346774388555454,2.7395506814706017,3.296104608888903,3.4729105264619555,3.529826868970785,"['PGD', 'KIF1B']","[0.261449206730754, 0.0536172015689006]","[0.0082662127896959, 0.677119766309547]","['ARNTL', 'ATOH1', 'BHLHA15', 'CDX4', 'ELF4', 'EOMES', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'NEUROG2', 'NFIX', 'NKX2-5', 'NPAS1', 'OLIG2', 'PGR', 'PLAGL1', 'RARA', 'RELA', 'SOX10', 'SOX15', 'SOX17', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX7', 'SPI1', 'TAL1', 'TBR1', 'TBX5', 'TBX6', 'TCF4', 'TGIF2', 'TRPS1', 'TWIST2', 'ZBTB7A']","['ATF2', 'GLIS1', 'KLF1', 'KLF8', 'KLF9', 'PRDM1', 'PRDM10', 'ZBTB21', 'ZNF366', 'ZNF629', 'ZNF660']",['H3K4me1']
chr1,10528310,10528810,1.6773554662709194,2.311509342462509,1.646352253978434,2.6885311355554,2.3969540971836687,2.527047363650808,"['PEX14', 'CASZ1']","[-0.0214652063505638, 0.20038279488832]","[0.852543579443004, 0.141749140137832]","['ATF3', 'BATF', 'CEBPA', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'EN1', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOSL1', 'FOSL2', 'FOXO1', 'GABPA', 'GLI2', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD12', 'JUN', 'JUNB', 'LHX1', 'LHX3', 'MEIS1', 'NANOG', 'NKX3-2', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'TAL1', 'TBR1', 'TBX21', 'TBX5', 'TBX6', 'TEAD1', 'TEAD3', 'TEAD4', 'TGIF1', 'TGIF2', 'ZNF263', 'ZNF7']","['BCL11A', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'MAZ', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZEB1', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF518A', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,21022233,21022796,1.6433457796331077,2.0462066210003105,1.2353362434261967,2.1368262579799544,2.606331655176217,1.8339541253109912,"['HP1BP3', 'EIF4G3']","[-0.0009656376286092, 0.0740605228371278]","[0.998718236056586, 0.528712648021344]","['ATF3', 'BACH1', 'BACH2', 'BATF', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'EN1', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOSL1', 'FOSL2', 'FOXA1', 'FOXD3', 'FOXH1', 'FOXK1', 'FOXL2', 'FOXM1', 'FOXO1', 'FOXO3', 'FOXP1', 'GABPA', 'ISL1', 'JUN', 'JUNB', 'MAFA', 'MAFB', 'MAFF', 'MAFK', 'MYF5', 'MYOG', 'NANOG', 'NFATC1', 'NFE2', 'NFE2L2', 'NKX6-1', 'OLIG2', 'PRDM1', 'PTF1A', 'RARA', 'RUNX1', 'RUNX2', 'SPDEF', 'SPI1', 'TAL1', 'TBX5', 'TCF21', 'TFAP4', 'TWIST2', 'ZNF189']","['ATF2', 'BCL11A', 'BCL11B', 'CTBP1', 'ELF4', 'FEZF1', 'GLI2', 'GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM1', 'PRDM10', 'PRDM4', 'PRDM6', 'REPIN1', 'SCRT1', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB7A', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF449', 'ZNF501', 'ZNF518A', 'ZNF549', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF600', 'ZNF610', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,23377172,23377672,2.4713505335755968,2.614302438299563,3.0776980421280213,2.535012168749889,2.732474055833215,2.8967260006058257,"['ZNF436', 'TCEA3']","[-0.029790998109238, -0.0071641307507152]","[0.808139024608541, 0.995446171271933]","['AR', 'CEBPA', 'E2F3', 'E2F4', 'GRHL2', 'KLF14', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIX', 'NKX2-2', 'NKX3-2', 'P300', 'PGR', 'PITX1', 'POU1F1', 'SOX3', 'SP5', 'TAL1', 'TBP', 'TBX20', 'TGIF1', 'TGIF2', 'THRB', 'ZFP57', 'ZIC1', 'ZIC3', 'ZNF264']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB8A', 'ZEB1', 'ZFHX2', 'ZFP37', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF701', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,44153935,44154435,2.494630956216504,3.5699159678618613,3.1123917298545565,3.2687298927946875,4.59058678370766,3.413264227835267,"['KLF18', 'DMAP1']","[-0.504218306466557, -0.144289013232985]","[0.803446282119303, 0.0923539322245998]","['CRX', 'FOXA1', 'FOXM1', 'GSC', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD12', 'HOXD13', 'ISL1', 'KLF1', 'KLF10', 'KLF14', 'KLF3', 'KLF4', 'KLF5', 'KLF6', 'KLF9', 'MAZ', 'MEIS1', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX6-1', 'NR2F1', 'NR2F2', 'NR2F6', 'OTX2', 'PBX2', 'PHOX2A', 'PHOX2B', 'PITX1', 'PLAGL1', 'PROP1', 'RARA', 'SIX1', 'SIX2', 'SIX4', 'SP1', 'SP2', 'SP5', 'TBP', 'TBX21', 'TBX5', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'ZEB1', 'ZEB2', 'ZFX', 'ZNF136', 'ZNF692', 'ZNF711']","['ATF2', 'KLF1', 'KLF10', 'KLF9', 'PKNOX1', 'PRDM6', 'SP7', 'ZNF189']",['H3K4me1']
chr1,45557350,45557850,1.4949677263061076,1.6289593875816477,2.19147697160144,2.2103093387404864,2.585303266748002,3.1768201691015125,"['AKR1A1', 'NASP']","[0.071547901636479, 0.0893011817471756]","[0.527816566245478, 0.361524607384779]","['ARNT', 'ASCL1', 'CEBPA', 'CRX', 'EHF', 'ERG', 'ISL1', 'KLF6', 'NANOG', 'NFIA', 'NFYA', 'NR2E1', 'NR2F1', 'NR2F2', 'PITX1', 'PLAGL1', 'PTF1A', 'RARA', 'SCRT1', 'SIX2', 'SNAI1', 'SREBF2', 'TAL1', 'TCF12', 'TCF3', 'TGIF1', 'THRB', 'ZEB1', 'ZIC1', 'ZNF416']","['FEZF1', 'GFI1B', 'GLIS1', 'IKZF3', 'KLF7', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT1', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB48', 'ZBTB8A', 'ZIC2', 'ZNF366', 'ZNF394', 'ZNF629', 'ZNF843', 'ZSCAN16']","['H3K27ac', 'H3K4me1']"
chr1,46077563,46078063,1.575028560497676,1.6118063427236675,2.242876756919479,1.6046819438977593,2.0735611404527767,2.249798782269709,"['PIK3R3', 'MAST2']","[0.212087765066105, -0.0941696813531917]","[0.12289118969229, 0.333016023149601]","['AR', 'BARX1', 'CEBPA', 'ESRRA', 'ESRRB', 'ESRRG', 'FOXO1', 'HLF', 'NANOG', 'NFATC1', 'NFIL3', 'NR2F1', 'NR2F2', 'NR2F6', 'PGR', 'POU1F1', 'RARA', 'TBP', 'TBX5', 'THRB']","['OSR2', 'PRDM1', 'PRDM6', 'ZNF362', 'ZNF366']",['H3K4me1']
chr1,51569389,51569889,2.4918498737681016,2.6625013496503382,2.121768561681789,2.752323179532333,2.9491005644542216,2.685216883816421,"['EPS15', 'OSBPL9']","[-0.062203822500762, 0.0717688098425737]","[0.528655461288884, 0.380044957545252]","['ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'GABPA', 'HOXA11', 'HOXA9', 'IRF1', 'IRF3', 'IRF8', 'NANOG', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-2', 'SIX2', 'SPI1', 'ZIC1']","['CTCF', 'GLIS1', 'HIC1', 'INSM2', 'KLF8', 'KLF9', 'OVOL3', 'PRDM1', 'PRDM6', 'SCRT2', 'SP3', 'SP7', 'TSHZ1', 'ZBTB20', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZNF184', 'ZNF189', 'ZNF24', 'ZNF350', 'ZNF366', 'ZNF518A', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF654', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN5C', 'ZXDB']",['H3K27ac']
chr1,63746205,63746705,3.927519653140217,3.87790715066911,3.697036517818974,5.44357802689291,4.769660525810385,4.834320996932451,"['PGM1', 'ROR1']","[-0.180497576240974, 0.329088563511176]","[0.0793977549410565, 0.0341040882893206]","['ATF2', 'ATF3', 'ATF7', 'CREB5', 'ERG', 'ETS1', 'ETV1', 'FOSL1', 'FOXA1', 'FOXM1', 'HOXA10', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD12', 'JUN', 'KLF10', 'LEF1', 'MEIS1', 'NFIX', 'NKX6-1', 'NPAS4', 'POU1F1', 'PROP1', 'SMAD2', 'SMAD3', 'SPI1', 'TCF7L1', 'TGIF2', 'ZIC1', 'ZNF263']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF17', 'L3MBTL2', 'MAZ', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SP7', 'TRIM28', 'WT1', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZBTB48', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF10', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF34', 'ZNF366', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF518A', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF600', 'ZNF610', 'ZNF629', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF792', 'ZNF837', 'ZNF843', 'ZSCAN23', 'ZSCAN30', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
