chrom,start,end,CC_R1,CC_R2,CC_R3,TCF7L2_R1,TCF7L2_R2,TCF7L2_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144049,1145051,8.234001121902976,6.957552320781864,6.321914662707011,11.189025032610369,9.15871575572794,13.06340418641626,['C1orf159'],[0.1990673655958],[0.105761575890919],"['ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'BHLHA15', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF5', 'MAZ', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'KLF8', 'KLF9', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,1907067,1907649,6.971286145161373,6.792833392598291,7.481655872965507,7.655549454629497,7.212802189571834,9.346369284461238,['CALML6'],[-0.20832827787501],[0.716586154271867],"['AR', 'ATF4', 'BCL6', 'CTCFL', 'DDIT3', 'EBF1', 'EBF2', 'FOXD3', 'FOXM1', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'PLAGL1', 'RARA', 'RFX6', 'SMAD3', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZFX', 'ZNF165', 'ZNF263', 'ZNF415', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,2290683,2291249,3.660195062949717,3.1647142666406856,2.8808076762225774,3.057644729513114,3.0338926698263524,3.3880624958471475,,,,"['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170806,3171306,4.741070639891516,4.212164278156384,4.514695313588373,4.643795411470333,4.523290646383591,5.019847614756402,,,,"['AR', 'ARNTL', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'ISL1', 'MEIS1', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7953950,7954550,4.591174143269913,5.778984337293771,4.044795033912887,5.072145231319031,5.535689643522308,6.0126580405878585,['PARK7'],[0.367037489788294],[0.000590108424076],"['AR', 'ATF1', 'E2F4', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'NFYA', 'NR2F1', 'NR2F2', 'NR2F6', 'RARA', 'RBPJ', 'SP1', 'SP2', 'SP5', 'TAL1', 'THRB', 'ZNF416']",,"['H3K27ac', 'H3K4me3']"
chr1,8448950,8449515,1.7479632560047065,1.5221142866412816,1.434235085057279,1.92697165763022,1.583637373804661,1.666126473192533,['RERE'],[-0.034566833982308],[0.772611317069633],"['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'MYB', 'MYBL2', 'PITX1', 'POU1F1', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571425,8571925,1.9998203273000088,2.395200029719283,2.1081845027307518,1.9623954998413635,2.515752117642416,2.1981331743941266,['RERE'],[-0.034566833982308],[0.772611317069633],"['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EHF', 'EN1', 'FOXA1', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'LHX1', 'LHX2', 'LHX3', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NKX6-1', 'NPAS1', 'PBX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'TBP', 'THRB', 'TRPS1', 'ZNF189']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532878,9533378,3.147251250638172,2.5256595924665324,3.142214298694626,3.088542917363963,2.646671891776219,3.44962652368433,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,9891019,9891519,2.52528332146302,2.744310384426889,2.80870772773683,2.3489279467798125,2.5352228025281187,2.218290001574712,,,,"['AR', 'ARNT', 'ARNTL', 'BHLHE41', 'EBF1', 'EPAS1', 'KLF14', 'KLF6', 'MEIS1', 'NPAS1', 'NR2F1', 'NR2F2', 'NR2F6', 'OLIG2', 'PGR', 'PLAGL1', 'PRDM15', 'RBPJ', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,10319844,10320344,2.126172451691566,2.532584628560251,3.0972845536265865,2.381865227569993,2.743107183929026,2.343309235767506,,,,"['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'SIX2', 'SIX4', 'SOX6', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
chr1,13797233,13797795,2.14007061140934,1.9933615082850924,2.2894246522778645,2.3297777082092,2.255738612179353,2.2506620278766967,,,,"['ARNTL', 'ASCL1', 'ASCL2', 'BHLHE41', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'DMRT1', 'EN1', 'HOXA11', 'HOXA13', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MITF', 'MYC', 'MYCN', 'NFIX', 'NKX2-1', 'NKX3-1', 'NKX3-2', 'NKX6-1', 'NPAS1', 'NPAS2', 'NPAS4', 'OLIG2', 'PDX1', 'PITX1', 'PTF1A', 'RUNX1', 'SNAI1', 'SNAI2', 'TAL1', 'TBX5', 'TCF12', 'TCF3', 'TGIF2', 'ZEB1', 'ZIC1']","['FEZF1', 'GFI1B', 'OSR2', 'SP7', 'ZIC2']",['H3K4me1']
chr1,14732849,14733650,4.917788849238004,5.063028580906507,6.40293380568358,6.419199565227836,5.6236041523626135,6.067616124026803,,,,"['AR', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'E2F3', 'E2F4', 'EBF1', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'EN1', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXH1', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'ISL1', 'KLF14', 'LHX1', 'LHX2', 'LHX3', 'NANOG', 'NKX2-2', 'NKX3-2', 'NKX6-1', 'PBX2', 'PDX1', 'PRDM15', 'RELA', 'RFX2', 'RFX6', 'SMAD3', 'SP5', 'SPI1', 'SPIB', 'STAT3', 'STAT4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'THRB', 'TP53', 'TP63', 'TP73']","['SP7', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZFHX2', 'ZIC2', 'ZNF189']",['H3K27ac']
