chrom,start,end,CC_R1,CC_R2,CC_R3,SCRT1_R1,SCRT1_R2,SCRT1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,13762633,13763133,1.864073872075118,1.6120986790976912,1.5816592183684512,1.6615336427975764,1.542559508939261,1.313494877103212,"['PRDM2', 'KAZN']","[0.158976024105687, -0.0481547615206867]","[0.267164483704012, 0.754517619745194]","['AR', 'ASCL1', 'ASCL2', 'BHLHA15', 'HOXA11', 'MAFB', 'MAFK', 'MYF5', 'MYOD1', 'MYOG', 'NKX3-1', 'PTF1A', 'SMAD3', 'TAL1', 'TBP', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TWIST2', 'ZBTB18', 'ZNF263', 'ZNF341']","['PRDM10', 'ZNF263', 'ZNF600', 'ZNF664']","['H3K27ac', 'H3K4me1']"
chr1,32062350,32062850,3.329444825841064,3.820223843092577,2.886627489709896,2.6589676386478427,3.1089014812165074,4.449805071899874,"['TMEM39B', 'KHDRBS1']","[0.0148939148561271, -0.037876960823843]","[0.94105547010583, 0.776251899899336]","['ASCL1', 'ASCL2', 'ATF1', 'ATF2', 'ATF7', 'ATOH1', 'BHLHA15', 'CDX2', 'CDX4', 'CREB1', 'CREB5', 'EGR1', 'EOMES', 'ESRRB', 'ESRRG', 'FOXO1', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXC9', 'HOXD10', 'HOXD11', 'HOXD13', 'JUN', 'JUND', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'MAZ', 'MEF2B', 'MYB', 'MYBL1', 'MYOD1', 'MYOG', 'NANOG', 'NEUROD1', 'NEUROG2', 'NFIX', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'PBX3', 'PKNOX1', 'POU1F1', 'PRDM10', 'PTF1A', 'RFX1', 'RFX2', 'RFX3', 'RFX5', 'RFX6', 'SIX2', 'SP2', 'SP5', 'TAL1', 'TBR1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TGIF1', 'TGIF2', 'TWIST2', 'ZFX', 'ZNF341', 'ZNF711']","['ATF2', 'BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HDGF', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'KLF9', 'MAZ', 'MYNN', 'OSR2', 'PATZ1', 'PKNOX1', 'PRDM1', 'PRDM10', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB17', 'ZBTB44', 'ZBTB48', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZFX', 'ZNF10', 'ZNF121', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF384', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF548', 'ZNF561', 'ZNF580', 'ZNF610', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF791', 'ZNF843', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,38985449,38985978,1.2788861733257169,1.1545114122925957,1.280454802462071,1.2692096693626995,1.109091993676684,1.2132028591465405,"['AKIRIN1', 'RHBDL2']","[-0.0563017938361582, -0.369646461483551]","[0.632014638380714, 0.518522983313372]","['CRX', 'ESRRA', 'FOXA1', 'FOXD3', 'FOXH1', 'FOXL2', 'FOXM1', 'GSC', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'NFATC1', 'NKX2-1', 'NKX2-2', 'OTX2', 'PGR', 'PITX1', 'RBPJ', 'SMAD3', 'STAT1', 'STAT3', 'STAT4', 'STAT5A', 'STAT6', 'TBP', 'TRPS1']","['EGR2', 'GLIS1', 'IKZF3', 'PRDM1', 'PRDM10', 'ZFHX2', 'ZNF341', 'ZNF600']",['H3K4me1']
chr1,42179981,42180481,2.379378062889601,2.7012753954274844,1.966293610226085,1.7452756811177532,2.044785181465955,2.0826598020530733,['FOXJ3'],[0.151191936101914],[0.16713398232825],"['AR', 'ATF1', 'ATF2', 'ATF7', 'CREB1', 'CREB5', 'DLX1', 'EBF1', 'EBF2', 'FOXA1', 'FOXA2', 'FOXF1', 'FOXK1', 'FOXK2', 'FOXL2', 'FOXO1', 'FOXO3', 'FOXP1', 'IRF4', 'JUN', 'JUND', 'NANOG', 'NFIL3', 'NFYA', 'NKX6-1', 'PGR', 'TGIF1', 'TGIF2', 'THRB', 'ZIC1']","['ARNT', 'ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF10', 'KLF16', 'KLF8', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'YY2', 'ZBTB11', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF146', 'ZNF155', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF19', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF518A', 'ZNF548', 'ZNF561', 'ZNF580', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF654', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF707', 'ZNF76', 'ZNF785', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN18', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C', 'ZXDB']",['H3K4me1']
chr1,59214811,59215311,2.2197552159032967,2.128922040774735,1.8659822746965105,1.7746957714465454,2.019253798082245,2.0671763276821906,"['JUN', 'FGGY']","[0.202216750815944, 0.362781701056561]","[0.19435250529646, 0.0488736429563789]","['ARNTL', 'ASCL1', 'ATF1', 'ATF4', 'ATF7', 'ATOH1', 'BHLHA15', 'CUX2', 'DDIT3', 'EBF1', 'EBF2', 'FOXK2', 'HLF', 'LHX1', 'MAX', 'MNT', 'MYB', 'MYBL1', 'MYOG', 'NEUROG2', 'NFIL3', 'NPAS1', 'OLIG2', 'ONECUT1', 'ONECUT2', 'PHOX2A', 'PITX1', 'PLAGL1', 'PRDM10', 'PROP1', 'PTF1A', 'RUNX1', 'RUNX2', 'SF1', 'TAL1', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TFAP2C', 'TFAP4', 'THRB', 'TWIST2', 'ZFX', 'ZNF711']","['ARNT', 'ATF2', 'BCL11A', 'BCL6B', 'CTBP1', 'FEZF1', 'FOXA1', 'FOXK2', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF7', 'KLF8', 'L3MBTL2', 'LEF1', 'MAZ', 'MYNN', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB10', 'ZBTB11', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB44', 'ZBTB48', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF146', 'ZNF174', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF239', 'ZNF24', 'ZNF302', 'ZNF324', 'ZNF335', 'ZNF34', 'ZNF341', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF404', 'ZNF423', 'ZNF449', 'ZNF488', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF529', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF600', 'ZNF610', 'ZNF623', 'ZNF626', 'ZNF629', 'ZNF639', 'ZNF645', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN18', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,61163059,61163559,1.994572985333332,1.871030203053773,1.55262353582558,1.3893874916565474,1.5853579483162543,1.6708193143349446,"['TM2D1', 'NFIA']","[-0.0428355833837947, 0.0188894832599112]","[0.785772641942689, 0.924598590719357]","['AR', 'BARX1', 'HOXA11', 'HOXA9', 'HOXD12', 'NANOG', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'PITX1', 'RFX6', 'RUNX1', 'RUNX2', 'SMAD2', 'SMAD3', 'SMAD4', 'STAT6', 'TAL1', 'TBX5', 'TEAD1', 'TEAD3', 'TEAD4']",['PRDM6'],['H3K4me1']
chr1,61221650,61222150,1.5001867382341585,1.453692270612207,1.3471806213381492,1.42780216906227,1.283090110328129,1.4108326421612218,"['TM2D1', 'NFIA']","[-0.0428355833837947, 0.0188894832599112]","[0.785772641942689, 0.924598590719357]","['DLX1', 'DLX2', 'DMC1', 'EHF', 'ELF3', 'ELF5', 'EN1', 'ERG', 'FOXD3', 'GATA3', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD13', 'MEIS1', 'NKX6-1', 'POU1F1', 'SOX9', 'SPI1', 'TGIF1', 'TGIF2', 'TRPS1']","['PRDM1', 'PRDM6', 'ZBTB17', 'ZNF335', 'ZNF76']",['H3K4me1']
chr1,61337842,61338342,3.2441016991861025,3.2519222220599127,2.591830657323273,2.323962452736071,2.5613226724004283,3.626283908749335,"['TM2D1', 'NFIA']","[-0.0428355833837947, 0.0188894832599112]","[0.785772641942689, 0.924598590719357]","['ATF1', 'ATF2', 'ATF7', 'CREB5', 'DLX1', 'FOXD3', 'FOXH1', 'HOXA10', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'JUN', 'MYB', 'MYBL1', 'MYBL2', 'NR2F1', 'PGR', 'PRDM14', 'RUNX1', 'SOX10', 'SOX17', 'SOX3', 'SOX6', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'ZNF652', 'ZNF711']","['ATF2', 'CTCF', 'GFI1B', 'GLIS1', 'HIC1', 'IKZF3', 'KLF8', 'PATZ1', 'PRDM1', 'SCRT2', 'TRIM28', 'WT1', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF184', 'ZNF2', 'ZNF24', 'ZNF335', 'ZNF394', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF654', 'ZNF660', 'ZNF692', 'ZSCAN21', 'ZSCAN30', 'ZSCAN4', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,69263739,69264239,1.8293574719584271,1.6779882708864249,1.7983569270438802,1.543415308141528,1.5799582277838415,1.475201870828018,"['DEPDC1', 'LRRC7']","[-0.14026555495975, 0.480051579635044]","[0.292302991725513, 0.0326978616674601]","['ATF4', 'DDIT3', 'E2F3', 'ELK4', 'EOMES', 'ETV1', 'FLI1', 'FOXK1', 'FOXK2', 'FOXO1', 'GABPA', 'HLF', 'HOXC9', 'ISL1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIL3', 'NKX3-1', 'NKX3-2', 'NR2F1', 'NR2F2', 'NR2F6', 'PBX2', 'PDX1', 'PRDM10', 'SMAD3', 'SOX3', 'THRB', 'TRPS1']","['ATF2', 'BCL11A', 'BCL11B', 'CTBP1', 'FEZF1', 'GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF8', 'MZF1', 'OSR2', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SP2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZEB2', 'ZFP69B', 'ZNF189', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF394', 'ZNF580', 'ZNF629', 'ZNF660', 'ZNF843', 'ZSCAN23', 'ZSCAN4']","['H3K27ac', 'H3K4me1']"
chr1,86780598,86781098,1.9548591279701524,1.5823100014842453,1.6211869176363678,1.494730395737064,1.2220467518271123,1.243695322645876,"['SELENOF', 'SH3GLB1']","[-0.0159612561296408, 0.109883948883785]","[0.935526737241223, 0.267056208931234]","['AR', 'ARNTL', 'ATF4', 'CLOCK', 'DDIT3', 'EBF1', 'EBF2', 'HLF', 'HOXA10', 'HOXD12', 'MAX', 'MNT', 'MYB', 'MYBL1', 'NFIL3', 'NFIX', 'NPAS1', 'NPAS2', 'PTF1A', 'RBPJ', 'RFX6', 'RUNX1', 'RUNX2', 'ZFP809', 'ZIC1', 'ZNF416', 'ZNF652']","['CTCF', 'FEZF1', 'IKZF3', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM6', 'SP7', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB48', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF24', 'ZNF335', 'ZNF366', 'ZNF384', 'ZNF558', 'ZNF600', 'ZNF654', 'ZNF692', 'ZNF770', 'ZNF785', 'ZSCAN21', 'ZSCAN30']",['H3K27ac']
