chrom,start,end,CC_R1,CC_R2,CC_R3,16P12_1_R1,16P12_1_R2,16P12_1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1250637,1251255,3.3143710500709997,3.7599384541762624,4.16317458646237,4.987103081016194,4.808834730957215,5.390622156598111,['C1QTNF12'],[-0.492129798564387],[0.1286579324883],"['AR', 'ASCL1', 'ASCL2', 'ATOH1', 'BHLHA15', 'DMC1', 'MAFB', 'MEIS1', 'MYF5', 'MYOD1', 'MYOG', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'PTF1A', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'TAL1', 'TBX5', 'TBX6', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'TGIF1', 'TGIF2', 'TWIST2', 'ZNF416']","['BCL11A', 'PATZ1', 'TRIM28', 'ZBTB17', 'ZBTB44', 'ZBTB6', 'ZFHX2', 'ZNF263', 'ZNF394', 'ZNF600', 'ZNF692', 'ZSCAN21']",['H3K27ac']
chr1,7401732,7402232,2.6089365991926434,2.523439457589119,2.1819908265377865,3.796108659748167,2.553441909640588,3.152298524144733,"['VAMP3', 'CAMTA1']","[-0.0429864540069276, -0.0712060957933008]","[0.762885070961715, 0.48977961814211]","['ATF3', 'BATF', 'BCL6', 'CRX', 'DMRT1', 'DMRTB1', 'FOSL1', 'FOSL2', 'FOXD3', 'FOXK2', 'FOXO1', 'GSC', 'HOXA9', 'JUN', 'JUNB', 'NKX3-2', 'OTX2', 'PITX1', 'PRDM10', 'RBPJ', 'RFX6', 'TAL1', 'TBX5', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'ZIC1', 'ZNF263', 'ZNF341']","['ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PRDM1', 'PRDM10', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZBTB6', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF169', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF292', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,8911404,8911904,1.4294401428766428,1.6040450289771602,2.065890677830289,2.202255378700154,2.5259433044598425,2.897523500661904,['ENO1'],[0.0903945640953665],[0.526306715900059],"['DLX1', 'EBF1', 'EOMES', 'FOXD3', 'HLF', 'HOXA10', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD12', 'HOXD13', 'ISL1', 'NANOG', 'NFIL3', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'PITX1', 'POU1F1', 'PRDM15', 'RARA', 'SOX2', 'SOX3', 'TBP', 'TBR1', 'TBX5', 'TBX6', 'TBXT', 'TFAP2A', 'TFAP2C', 'TP53', 'TP63', 'TP73', 'ZNF263', 'ZNF467']","['GLIS1', 'ZNF558']",['H3K4me1']
chr1,10824648,10825148,3.0065822513444567,2.7787707141290743,2.6821580425221123,4.8069105891181945,3.5049702660820445,3.656301399048684,"['TARDBP', 'CASZ1']","[-0.0828953601953911, -0.20268725358087]","[0.604913743228519, 0.185492120280307]","['AR', 'ASCL1', 'ASCL2', 'ATOH1', 'BCL11A', 'EBF1', 'EBF2', 'EGR1', 'GLI3', 'KLF14', 'KLF9', 'MYB', 'MYBL2', 'MYF5', 'MYOD1', 'MYOG', 'PLAGL1', 'PTF1A', 'SMAD2', 'SMAD3', 'TAL1', 'TCF12', 'TCF3', 'TFAP2A', 'TFAP2C', 'TFAP4', 'THRB', 'TWIST2', 'WT1', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZNF467', 'ZNF692', 'ZNF711']","['EGR2', 'GLIS2', 'ZFHX2', 'ZNF362', 'ZNF384', 'ZNF580', 'ZSCAN5C']",['H3K4me1']
chr1,15835774,15836274,2.302417047378348,2.5383513492125944,2.241723854325442,2.366156302979489,2.400915457480297,3.154870422562123,"['UQCRHL', 'SPEN']","[0.109963302715733, 0.218844058952653]","[0.417221349517443, 0.380278297488863]","['EGR1', 'EGR2', 'ERG', 'ESRRA', 'ETS1', 'FOXO1', 'HOXA9', 'HOXD10', 'KLF1', 'KLF14', 'KLF6', 'MAZ', 'MEIS1', 'MYB', 'MYBL2', 'NKX3-1', 'NPAS4', 'NR2F2', 'NRF1', 'RARA', 'SOX10', 'SOX3', 'SP2', 'SP5', 'TEAD1', 'TEAD3', 'TGIF1', 'TGIF2', 'WT1', 'ZBTB7A', 'ZNF281', 'ZNF467', 'ZNF711']","['CTBP1', 'EGR2', 'GLIS1', 'IKZF3', 'INSM2', 'KLF10', 'KLF17', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM1', 'SP2', 'SP3', 'SP7', 'TARDBP', 'ZBTB1', 'ZBTB12', 'ZBTB26', 'ZBTB6', 'ZBTB8A', 'ZFHX2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF263', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF449', 'ZNF561', 'ZNF600', 'ZNF610', 'ZNF624', 'ZNF629', 'ZNF660', 'ZSCAN21']","['H3K27ac', 'H3K4me3']"
chr1,18922584,18923084,2.420166644365084,1.7599384658381925,2.1449520533554955,2.3911771548409044,2.1780945463709287,2.606309988562225,,,,"['AR', 'BHLHA15', 'CRX', 'GSC', 'MYB', 'NANOG', 'NEUROD1', 'NEUROG2', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-2', 'OLIG2', 'OTX2', 'PITX1', 'PLAGL1', 'PTF1A', 'SMAD3', 'SOX10', 'SOX17', 'SOX2', 'SOX3', 'SOX6', 'TAL1', 'TCF4', 'THRB', 'TWIST2', 'ZNF341', 'ZNF711']","['ATF2', 'CTCF', 'EGR2', 'IKZF3', 'PRDM1', 'PRDM10', 'SP7', 'TRIM28', 'ZBTB20', 'ZBTB21', 'ZBTB48', 'ZBTB8A', 'ZNF263', 'ZNF335', 'ZNF366', 'ZNF398', 'ZNF600']","['H3K27ac', 'H3K4me1']"
chr1,23377167,23377667,2.4621002843642685,2.6170594058882584,3.063354768754635,2.580159427384749,2.4972050273432336,2.608409222011447,"['ZNF436', 'TCEA3']","[-0.075764354667209, -0.0133976771174233]","[0.541154689093703, 0.989693841292976]","['AR', 'CEBPA', 'E2F3', 'E2F4', 'GRHL2', 'KLF14', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIX', 'NKX2-2', 'NKX3-2', 'P300', 'PGR', 'PITX1', 'POU1F1', 'SOX3', 'SP5', 'TAL1', 'TBP', 'TBX20', 'TGIF1', 'TGIF2', 'ZFP57', 'ZIC1', 'ZIC3', 'ZNF264']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB8A', 'ZEB1', 'ZFHX2', 'ZFP37', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF701', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,39852669,39853169,4.329437966804903,4.873281950990223,5.106394402463172,4.270414077283761,5.217044440365138,4.50585098173986,"['BMP8B', 'TRIT1']","[-0.377699660188585, -0.202248949219503]","[0.0067492207894862, 0.0197068346835808]","['AR', 'ARNT', 'BARX1', 'CDX2', 'DLX2', 'EBF1', 'EN1', 'FOXF1', 'FOXK1', 'FOXL2', 'FOXO1', 'FOXO3', 'FOXP1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'HOXD13', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIX', 'NKX3-1', 'NKX3-2', 'ONECUT2', 'P300', 'PBX2', 'PGR', 'PITX1', 'POU1F1', 'RELA', 'TBP', 'TEAD1', 'TEAD3', 'TGIF1', 'TGIF2', 'ZIC1']","['ATF2', 'BCL11B', 'BCL6B', 'FEZF1', 'GFI1B', 'INSM2', 'KLF10', 'KLF7', 'KLF8', 'MZF1', 'OSR2', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP7', 'WT1', 'ZBTB12', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF18', 'ZNF184', 'ZNF2', 'ZNF221', 'ZNF24', 'ZNF335', 'ZNF366', 'ZNF488', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF596', 'ZNF610', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF664', 'ZNF670', 'ZNF792', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,40059099,40059599,3.426653207070374,3.538608194376739,3.5356627544878543,3.3138826080046537,3.5765636107537104,3.770898308667703,"['PPT1', 'CAP1']","[0.159246390128262, 0.132152397883337]","[0.101672298870565, 0.130483114565877]","['ARNT', 'ASCL1', 'ASCL2', 'EOMES', 'ESRRA', 'HNF1A', 'HNF1B', 'MEIS1', 'NANOG', 'NEUROD1', 'NKX2-2', 'NKX6-1', 'NR2F2', 'OLIG2', 'PGR', 'PITX1', 'PRDM15', 'PTF1A', 'SIX2', 'SMAD2', 'SMAD3', 'SMAD4', 'SNAI1', 'SNAI2', 'SOX6', 'SPDEF', 'TAL1', 'TBX5', 'TBX6', 'TCF12', 'TCF3', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'TP63', 'ZEB1']",,"['H3K36me3', 'H3K4me1']"
chr1,40711427,40711927,1.4690898455484958,1.7455120443791858,2.082964154506573,2.4844450984530684,2.863615098685284,2.4888122220421547,"['NFYC', 'RIMS3']","[-0.210437221731491, 0.0544292279562977]","[0.0319034301006596, 0.859822105564664]","['ARNTL', 'ATF3', 'BATF', 'BCL6', 'EOMES', 'FOSL1', 'FOSL2', 'FOXF1', 'FOXK1', 'FOXK2', 'FOXO1', 'FOXO3', 'FOXP1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD11', 'HOXD12', 'JUN', 'JUNB', 'LEF1', 'MAFB', 'MEF2B', 'MNT', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NKX3-2', 'NPAS1', 'PDX1', 'SMAD3', 'STAT3', 'STAT4', 'TBR1', 'TBX21', 'TBX5', 'TBX6', 'TCF7L1', 'TEAD3', 'TGIF1', 'TGIF2', 'TP53', 'ZEB1']","['GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF10', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SP7', 'TRIM28', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB2', 'ZFP37', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF24', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF596', 'ZNF626', 'ZNF629', 'ZNF660', 'ZNF770', 'ZSCAN21', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me1']"
