chrom,start,end,CC_R1,CC_R2,CC_R3,ATF2_R1,ATF2_R2,ATF2_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144391,1144891,9.27655097680293,7.631262847393545,7.107481057512447,6.690452734665963,3.65337759342538,3.9695299149317873,['C1orf159'],[0.287140286606634],[0.0070856850549244],"['AR', 'ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF6', 'MAZ', 'MYB', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'RFX5', 'RFX6', 'SMAD3', 'TBX5', 'TCF12', 'TCF3', 'TFAP2A', 'TFAP2C', 'THRA', 'THRB', 'ZBTB7A', 'ZEB1', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,2290682,2291252,3.659467642020853,3.160422395663317,2.8573711300168902,3.871039735758641,3.474275206690943,2.8195080523528646,"['RER1', 'SKI']","[-0.135333143468694, 0.713765965447286]","[0.0923297043346349, 1.12658234910224e-10]","['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170806,3171306,4.741070639891516,4.212164278156384,4.514695313588373,3.4073536644093294,3.418794907570689,3.405366143024186,,,,"['AR', 'ARNTL', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'ISL1', 'MEIS1', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7953950,7954550,4.591174143269913,5.778984337293771,4.044795033912887,8.227206150157246,3.9123730094541984,5.361170189507551,"['PARK7', 'TNFRSF9']","[0.555373789875606, 3.26527667984947]","[3.15685167903979e-07, 1.0198772106570599e-12]","['AR', 'ATF1', 'E2F4', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'NFYA', 'NR2F1', 'NR2F2', 'NR2F6', 'RARA', 'RBPJ', 'SP1', 'SP2', 'SP5', 'TAL1', 'THRB', 'ZNF416']",,"['H3K27ac', 'H3K4me3']"
chr1,13797207,13797707,2.2712728355761302,2.097774234222577,2.4092266098550814,1.7790779911740355,1.9564372657198856,2.1741186983563265,['KAZN'],[0.30603288782645],[0.000329056876878],"['ARNT', 'ASCL1', 'ASCL2', 'BHLHE41', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'DMRT1', 'EN1', 'EPAS1', 'HIF1A', 'HOXA11', 'HOXA13', 'HOXA9', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NEUROG2', 'NFIX', 'NKX3-1', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'PITX1', 'PLAGL1', 'PTF1A', 'SNAI1', 'SNAI2', 'TAL1', 'TBX5', 'TCF12', 'TCF3', 'TGIF1', 'TGIF2', 'ZEB1', 'ZFX', 'ZIC1', 'ZNF711']","['FEZF1', 'GFI1B', 'OSR2', 'SP7', 'ZIC2']",['H3K4me1']
chr1,14732947,14733447,5.008416602214336,5.318303843554479,6.688931076565472,1.664883368029212,1.908367909773984,2.1844118741759093,['KAZN'],[0.30603288782645],[0.000329056876878],"['AR', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'E2F3', 'E2F4', 'EBF1', 'EN1', 'GFI1B', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'ISL1', 'KLF14', 'LHX1', 'LHX2', 'LHX3', 'NANOG', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'NKX6-1', 'PBX2', 'PDX1', 'PRDM15', 'RELA', 'RFX2', 'RFX6', 'RUNX1', 'SIX2', 'SMAD3', 'SP5', 'STAT3', 'STAT4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'THRB', 'TP53', 'TP63', 'TP73']","['SP7', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZFHX2', 'ZIC2', 'ZNF189']",['H3K27ac']
chr1,15886141,15886650,5.61326151130383,7.597184054139326,5.767617035103953,6.362005128216921,5.598823938592683,5.24187729307338,"['SPEN', 'ZBTB17']","[0.224064899213688, 0.46549681992726]","[0.200375447660761, 1.25349760696005e-05]","['EHF', 'ELF3', 'ELF4', 'ELF5', 'GLI3', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NEUROG2', 'NFIA', 'NFIX', 'NR2E1', 'PRDM10', 'SMAD3', 'SOX9', 'SP1', 'SP2', 'SP5', 'SPDEF', 'SPIB', 'TAL1', 'TBX5', 'TBX6', 'TFCP2L1', 'TGIF2', 'ZIC1', 'ZNF416']","['CTCF', 'GLI2', 'GLIS1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'KLF9', 'LEF1', 'MAZ', 'OSR2', 'PATZ1', 'PRDM10', 'REPIN1', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB48', 'ZBTB6', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF221', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF600', 'ZNF610', 'ZNF624', 'ZNF629', 'ZNF660', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,15893151,15893675,3.5101129830934106,3.702708423415357,3.21593777938689,1.1561291622131882,3.2532573845685824,2.38532695667014,"['SPEN', 'ZBTB17']","[0.224064899213688, 0.46549681992726]","[0.200375447660761, 1.25349760696005e-05]","['ATF3', 'BACH1', 'BACH2', 'BATF', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EHF', 'ELF4', 'EN1', 'ERG', 'ETV1', 'ETV4', 'FLI1', 'FOSL1', 'FOXA1', 'FOXA2', 'FOXD3', 'FOXF1', 'FOXL2', 'FOXM1', 'FOXO1', 'FOXO3', 'GATA4', 'GSC', 'JUN', 'JUNB', 'KLF1', 'KLF5', 'KLF6', 'LHX2', 'LHX3', 'MAZ', 'MEIS1', 'NANOG', 'NFE2', 'NFE2L2', 'NKX6-1', 'PGR', 'PHOX2A', 'POU1F1', 'PROP1', 'RARA', 'RUNX1', 'SP2', 'TAL1', 'TGIF1', 'TGIF2', 'TRPS1', 'ZNF467']","['KLF1', 'TSHZ1', 'ZBTB8A', 'ZEB2', 'ZNF121']","['H3K27ac', 'H3K4me1']"
chr1,21149849,21150494,2.14767086217883,1.8879208736429451,1.8264728624765203,1.067065761645564,1.573565324311058,1.4655384374955858,,,,"['BARX1', 'HAND2', 'ISL1', 'LEF1', 'MAFB', 'MEF2A', 'MEF2B', 'MEF2C', 'MEF2D', 'MYOD1', 'NANOG', 'NKX6-1', 'OLIG2', 'PGR', 'PRDM15', 'RUNX1', 'SF1', 'SMAD3', 'SNAPC1', 'SP2', 'SRF', 'STAT6', 'TAL1', 'TCF7', 'TGIF2', 'THRB', 'YY1', 'ZIC1']","['ATF2', 'GLIS1', 'INSM2', 'KLF10', 'KLF17', 'KLF7', 'MYNN', 'OSR2', 'PRDM6', 'WT1', 'YY1', 'YY2', 'ZBTB44', 'ZFP69B', 'ZNF10', 'ZNF16', 'ZNF184', 'ZNF341', 'ZNF600', 'ZNF629', 'ZNF660', 'ZNF692']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,25922349,25922903,2.809705259719422,3.191657915268266,2.6520890061709665,3.107251344683708,2.782746843131559,2.3828605337271025,"['PAFAH2', 'STMN1']","[-0.132737151684247, 0.436089475577381]","[0.167942077266905, 2.84185421376347e-06]","['AR', 'ASCL1', 'BCL6', 'EN1', 'EOMES', 'HOXA9', 'HOXD11', 'HOXD12', 'KLF5', 'MAZ', 'MYBL2', 'MYF5', 'MYOD1', 'MYOG', 'NANOG', 'NEUROG2', 'NFYA', 'PRDM14', 'PTF1A', 'SMAD3', 'SNAI1', 'SNAI2', 'SP2', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZEB1', 'ZEB2', 'ZNF341']","['CTCF', 'GLIS2', 'KLF1', 'KLF10', 'KLF8', 'KLF9', 'L3MBTL2', 'PRDM10', 'SCRT1', 'SCRT2', 'SP2', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB8A', 'ZFX', 'ZNF189', 'ZNF335', 'ZNF341', 'ZNF391', 'ZNF449', 'ZNF561', 'ZNF660', 'ZNF843', 'ZSCAN5A']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,32186127,32186627,8.498524542308624,7.935148301077297,7.116886078556029,3.862828834712565,3.3394427299541656,2.905320487688965,"['CCDC28B', 'TXLNA']","[-0.0831742688435751, -0.506347762544414]","[0.431274202347835, 3.29444696635557e-08]","['ASCL1', 'ASCL2', 'BCL6', 'EOMES', 'NPAS2', 'PLAGL1', 'POU1F1', 'PTF1A', 'SIX2', 'SMAD2', 'SMAD3', 'SMAD4', 'SNAI1', 'SNAI2', 'TAL1', 'TBR1', 'TBX21', 'TCF12', 'TCF3', 'TWIST2', 'ZEB1', 'ZEB2', 'ZNF263', 'ZNF264']","['KLF16', 'PATZ1', 'PRDM10', 'ZBTB17', 'ZNF610', 'ZNF692', 'ZNF701']","['H3K27ac', 'H3K36me3']"
chr1,33126950,33127649,4.16372320629181,5.473450884182129,3.067247190980895,4.984487794416757,4.5621370780354,3.990397775438258,"['AZIN2', 'TRIM62']","[-1.01688914294593, -0.748729310549519]","[1.26662662457409e-08, 1.6598820637241e-08]","['CTCF', 'CTCFL', 'E2F4', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ETV1', 'ETV4', 'FLI1', 'GABPA', 'HSF1', 'MITF', 'MYC', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NR2E1', 'SMAD3', 'SP2', 'SPIB', 'ZNF263']","['ARNT', 'BCL11B', 'BCL6B', 'CTBP1', 'CTCF', 'EGR2', 'ELF4', 'FEZF1', 'FOXM1', 'IKZF3', 'INSM2', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'L3MBTL2', 'MAZ', 'MZF1', 'PATZ1', 'PKNOX1', 'PRDM1', 'PRDM10', 'PRDM4', 'SP2', 'SP3', 'SP7', 'TRIM28', 'YY1', 'ZBTB10', 'ZBTB11', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB48', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF350', 'ZNF366', 'ZNF394', 'ZNF449', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF548', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF768', 'ZNF770', 'ZNF792', 'ZSCAN21', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me3']"
chr1,38985449,38985972,1.29733790708375,1.157887817421168,1.28483438609238,1.35330551792786,1.3179123568220426,1.3670770140609785,"['AKIRIN1', 'RHBDL2']","[-0.0897592569953842, -1.20748388555788]","[0.186523262531961, 0.0023170187737551]","['CRX', 'ESRRA', 'FOXA1', 'FOXD3', 'FOXH1', 'FOXL2', 'FOXM1', 'GSC', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'NFATC1', 'NKX2-1', 'NKX2-2', 'OTX2', 'PGR', 'PITX1', 'RBPJ', 'SMAD3', 'STAT1', 'STAT3', 'STAT4', 'STAT5A', 'STAT6', 'TBP', 'TRPS1']","['EGR2', 'GLIS1', 'IKZF3', 'PRDM1', 'PRDM10', 'ZFHX2', 'ZNF341', 'ZNF600']",['H3K4me1']
chr1,43120258,43120816,7.157616458318666,7.564949979217624,7.089656653606459,5.517193120428075,3.3101018139809275,3.71787233648356,"['EBNA1BP2', 'SLC2A1']","[-0.0064291366785165, 0.971173245201579]","[0.967141972764486, 7.90154054907821e-11]","['EBF1', 'EBF2', 'GATA3', 'GATA5', 'HOXA9', 'KLF1', 'PITX1', 'SOX17', 'SOX6', 'SP2', 'SP5', 'STAT6', 'TAL1', 'TRPS1', 'YY1', 'ZEB1', 'ZIC1', 'ZIC2', 'ZNF263', 'ZNF416', 'ZNF467']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'KLF9', 'L3MBTL2', 'MAZ', 'MYNN', 'MZF1', 'NFRKB', 'OSR2', 'OVOL3', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM4', 'REPIN1', 'REST', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'YY1', 'YY2', 'ZBTB1', 'ZBTB10', 'ZBTB11', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF366', 'ZNF391', 'ZNF398', 'ZNF423', 'ZNF501', 'ZNF561', 'ZNF580', 'ZNF600', 'ZNF610', 'ZNF629', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN30', 'ZXDB']",['H3K27ac']
chr1,43152634,43153242,15.502104395919051,17.25675268991546,17.898577145793762,5.155161535653846,3.461424390072881,4.245570449668401,"['EBNA1BP2', 'SLC2A1']","[-0.0064291366785165, 0.971173245201579]","[0.967141972764486, 7.90154054907821e-11]","['EBF1', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXO1', 'GABPA', 'HOXA10', 'HOXD12', 'NKX3-1', 'NKX3-2', 'PITX1', 'PLAGL1', 'PRDM10', 'PRDM14', 'PRDM15', 'RARA', 'SMAD2', 'SMAD3', 'SMAD4', 'SPDEF', 'TAL1', 'TEAD4', 'TP53', 'TP63', 'TP73', 'ZNF416']","['ZBTB17', 'ZNF121', 'ZNF140', 'ZNF335', 'ZSCAN21']",['H3K27ac']
chr1,60866968,60867468,1.45770035905603,1.2946172739416553,1.2517971133261183,1.1803956216541251,1.3850611863248734,1.244865636132522,['NFIA'],[0.268429795406047],[0.0024716278584166],"['ATF1', 'ATF2', 'ATF7', 'BCL6', 'CDX2', 'CDX4', 'CREB1', 'CREB5', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ESRRA', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'JUN', 'JUND', 'MEF2B', 'NFIL3', 'P300', 'PGR', 'RARA', 'SPDEF', 'SRF', 'TBP', 'TGIF1', 'TGIF2']","['ATF2', 'FEZF1', 'HIC1', 'INSM2', 'OSR2', 'OVOL3', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP7', 'TSHZ1', 'ZBTB1', 'ZBTB12', 'ZBTB21', 'ZEB1', 'ZEB2', 'ZNF184', 'ZNF24', 'ZNF335', 'ZNF34', 'ZNF362', 'ZNF366', 'ZNF384', 'ZNF394', 'ZNF449', 'ZNF488', 'ZNF518A', 'ZNF580', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF76', 'ZNF843', 'ZSCAN21', 'ZSCAN5C']",['H3K4me1']
chr1,61056896,61057550,2.585409114831187,2.4428340662567725,2.320063541619905,2.3999756217743324,2.9163607747299354,2.500612469026533,['NFIA'],[0.268429795406047],[0.0024716278584166],"['AR', 'ARNT', 'EPAS1', 'HIF1A', 'HINFP', 'HOXA9', 'HOXC9', 'MEF2B', 'MEIS1', 'NANOG', 'NKX2-1', 'NKX2-5', 'NKX3-2', 'NKX6-1', 'PBX2', 'PDX1', 'POU1F1', 'RUNX1', 'SOX6', 'TBX5', 'TGIF1', 'TGIF2', 'THRB', 'ZFP57', 'ZNF264']","['FEZF1', 'FOXM1', 'GFI1B', 'L3MBTL2', 'MAZ', 'PATZ1', 'PKNOX1', 'PRDM10', 'SP3', 'TARDBP', 'TRIM28', 'ZBTB10', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB44', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZNF18', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF335', 'ZNF362', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF600', 'ZNF639', 'ZNF660', 'ZSCAN30', 'ZSCAN4', 'ZXDB']","['H3K27ac', 'H3K4me3']"
chr1,61090564,61091064,5.180903846614455,5.4645074159777005,5.15770503023143,3.928637814918722,4.51151752457476,4.3281848532730525,"['NFIA', 'TM2D1']","[0.268429795406047, -0.505226378241244]","[0.0024716278584166, 2.81070246443311e-07]","['BCL11A', 'BHLHE41', 'EHF', 'ELF3', 'ELF4', 'ERG', 'ETS1', 'ETV1', 'ETV4', 'GABPA', 'HAND2', 'HOXA11', 'HOXA13', 'HOXD11', 'ISL1', 'NANOG', 'NFYA', 'NKX6-1', 'NR2E1', 'PHOX2A', 'PROP1', 'RFX6', 'SMAD3', 'SOX15', 'SOX3', 'SOX9', 'ZBTB7A', 'ZIC1']","['ZNF341', 'ZNF362', 'ZNF76']","['H3K36me3', 'H3K4me1']"
