chrom,start,end,CC_R1,CC_R2,CC_R3,LEF1_R1,LEF1_R2,LEF1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144049,1145051,8.234001121902976,6.957552320781864,6.321914662707011,7.038706008685488,9.740206911576232,8.589421304632666,['C1orf159'],[0.349729483658348],[0.0049939461456519],"['ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'BHLHA15', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF5', 'MAZ', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'KLF8', 'KLF9', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,2290683,2291252,3.659467642020853,3.1604223956633173,2.86440898994304,3.554638880342647,3.148601311361198,2.85857999558191,,,,"['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170805,3171305,4.741070639891516,4.212164278156384,4.514695313588373,3.8025019079357074,3.690830805102878,4.029342871221091,,,,"['AR', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'ISL1', 'MEIS1', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7953950,7954650,4.28599760236664,5.343953015788844,3.685604741326028,6.049580000490593,8.259962255663144,8.580270224456637,"['PARK7', 'TNFRSF9']","[0.398425626537238, 0.135801532089889]","[0.0003370624386034, 0.788220834107273]","['AR', 'ATF1', 'E2F4', 'EBF2', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'MAZ', 'NFYA', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NR2F2', 'RBPJ', 'SMAD2', 'SMAD3', 'SMAD4', 'SP1', 'SP2', 'SP5', 'THRB', 'WT1', 'ZBTB7A', 'ZIC2', 'ZNF416', 'ZNF467']",,"['H3K27ac', 'H3K4me3']"
chr1,8448949,8449515,1.747963256004706,1.5221142866412816,1.434235085057279,1.8342488270475656,1.307583635442625,1.4867813335376068,"['RERE', 'SLC45A1']","[0.0175599841798334, -1.67348271642702]","[0.894292409817726, 0.0797954545892387]","['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'MYB', 'MYBL2', 'PITX1', 'POU1F1', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571749,8572249,1.6644110230213784,2.049810683740954,1.6959526090993702,1.7115333665154764,2.0073925028261224,1.5687946708297478,"['RERE', 'SLC45A1']","[0.0175599841798334, -1.67348271642702]","[0.894292409817726, 0.0797954545892387]","['ARNT', 'ARNTL', 'BHLHE40', 'BHLHE41', 'CLOCK', 'EHF', 'ELF5', 'ELK4', 'EPAS1', 'FLI1', 'HOXA13', 'MAFF', 'MEF2A', 'MITF', 'MNT', 'NPAS1', 'NPAS2', 'OLIG2', 'PITX1', 'SNAPC1', 'STAT4', 'TGIF1', 'TGIF2', 'USF2', 'ZBTB7A', 'ZNF7']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532878,9533378,3.147251250638172,2.5256595924665324,3.142214298694626,2.5593762841874947,1.9338077336609416,2.692634531324745,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,10319815,10320343,2.155729664663554,2.53813814776528,3.143558849100572,2.314139880650365,3.24873373093375,2.547073975422488,,,,"['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'NR2F2', 'PLAGL1', 'SIX2', 'SIX4', 'SOX6', 'THRB', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
chr1,13762638,13763138,1.8722139326518656,1.6311490852050026,1.57978090983322,1.894385502924806,1.296199878707386,1.4727074158524738,,,,"['AR', 'ASCL1', 'ASCL2', 'BHLHA15', 'HOXA11', 'MAFB', 'MAFK', 'MYF5', 'MYOD1', 'MYOG', 'NKX3-1', 'PTF1A', 'SMAD3', 'TAL1', 'TBP', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TWIST2', 'ZBTB18', 'ZNF263', 'ZNF341']","['PRDM10', 'ZNF263', 'ZNF600', 'ZNF664']","['H3K27ac', 'H3K4me1']"
chr1,13797234,13797795,2.14007061140934,1.9933615082850928,2.2894246522778645,2.467040432772499,2.51333816376196,2.4565679422770965,,,,"['ARNTL', 'ASCL1', 'ASCL2', 'BHLHE41', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'DMRT1', 'EN1', 'HOXA11', 'HOXA13', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MITF', 'MYC', 'MYCN', 'NFIX', 'NKX2-1', 'NKX3-1', 'NKX3-2', 'NKX6-1', 'NPAS1', 'NPAS2', 'NPAS4', 'OLIG2', 'PDX1', 'PITX1', 'PTF1A', 'RUNX1', 'SNAI1', 'SNAI2', 'TAL1', 'TBX5', 'TCF12', 'TCF3', 'TGIF2', 'ZEB1', 'ZIC1']","['FEZF1', 'GFI1B', 'OSR2', 'SP7', 'ZIC2']",['H3K4me1']
chr1,15886150,15886650,5.714765717741379,7.779620223859259,5.901807967583049,6.20901737133505,9.210386112417362,8.662864192478647,"['SPEN', 'ZBTB17']","[0.119550643099009, 0.0806744968436119]","[0.613688872626082, 0.530157054276497]","['EHF', 'ELF3', 'ELF4', 'ELF5', 'GLI3', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NFIA', 'NFIX', 'NR2E1', 'PRDM10', 'SMAD3', 'SOX9', 'SP1', 'SP2', 'SP5', 'SPDEF', 'SPIB', 'TAL1', 'TBX5', 'TBX6', 'TFCP2L1', 'TGIF2', 'ZIC1', 'ZNF416']","['CTCF', 'GLI2', 'GLIS1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'KLF9', 'LEF1', 'MAZ', 'OSR2', 'PATZ1', 'PRDM10', 'REPIN1', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB48', 'ZBTB6', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF221', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF600', 'ZNF610', 'ZNF624', 'ZNF629', 'ZNF660', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,15893137,15893654,3.489304574899762,3.71956528326246,3.2392158534620195,3.422060540575625,1.9228981155632408,2.922504263281477,"['SPEN', 'ZBTB17']","[0.119550643099009, 0.0806744968436119]","[0.613688872626082, 0.530157054276497]","['ATF3', 'BACH1', 'BACH2', 'BATF', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EHF', 'ELF4', 'EN1', 'ERG', 'ETV1', 'ETV4', 'FLI1', 'FOSL1', 'GATA4', 'GSC', 'JUN', 'JUNB', 'KLF1', 'KLF5', 'KLF6', 'LHX2', 'LHX3', 'MAZ', 'MEIS1', 'NFE2', 'NFE2L2', 'NKX6-1', 'PGR', 'PHOX2A', 'POU1F1', 'PROP1', 'RARA', 'RUNX1', 'SP2', 'TAL1', 'TGIF1', 'TGIF2', 'TRPS1', 'ZNF467']","['KLF1', 'TSHZ1', 'ZBTB8A', 'ZEB2', 'ZNF121']","['H3K27ac', 'H3K4me1']"
chr1,16176322,16176822,1.8974595435952175,1.6337110778052104,1.6443970874163332,1.3702902769969074,1.21967592567086,1.6220262655893285,"['ARHGEF19', 'EPHA2']","[0.502608279698722, 0.0950317398116432]","[0.0153249514438574, 0.41943093083209]","['ARNT', 'ASCL1', 'ATOH1', 'DMC1', 'EBF1', 'EGR1', 'ERG', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXD3', 'FOXO1', 'GABPA', 'GLI3', 'KLF14', 'MAZ', 'NEUROG2', 'NPAS4', 'PITX1', 'SMAD3', 'SMAD4', 'TAL1', 'TWIST2', 'ZIC1', 'ZNF263', 'ZNF415']","['BCL11A', 'GFI1B', 'INSM2', 'KLF8', 'PATZ1', 'PRDM1', 'PRDM10', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZEB2', 'ZFP69B', 'ZNF18', 'ZNF2', 'ZNF266', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF561', 'ZNF596', 'ZNF623', 'ZNF629', 'ZNF660', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,21149850,21150486,2.1577538239730973,1.898209270774515,1.8264728624765203,1.7251329078527382,1.2820198409349928,1.5733027014930512,,,,"['BARX1', 'BCL11A', 'HAND2', 'ISL1', 'LEF1', 'MAFB', 'MEF2A', 'MEF2B', 'MEF2C', 'MEF2D', 'MITF', 'MYOD1', 'NANOG', 'NKX6-1', 'OLIG2', 'PGR', 'PRDM15', 'RUNX1', 'SF1', 'SMAD3', 'SNAPC1', 'SP2', 'SRF', 'STAT6', 'TAL1', 'TCF7', 'TGIF2', 'THRB', 'YY1', 'ZIC1']","['ATF2', 'GLIS1', 'INSM2', 'KLF10', 'KLF17', 'KLF7', 'MYNN', 'OSR2', 'PRDM6', 'WT1', 'YY1', 'YY2', 'ZBTB44', 'ZFP69B', 'ZNF10', 'ZNF16', 'ZNF184', 'ZNF341', 'ZNF600', 'ZNF629', 'ZNF660', 'ZNF692']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,25922250,25922904,2.731753026991444,3.029366231723356,2.5770331882498088,3.102065235731295,3.445659207568029,3.540160856621331,"['PAFAH2', 'STMN1']","[-0.148636449672113, -0.0489032601858413]","[0.205128311124928, 0.668799717918943]","['ASCL1', 'BCL6', 'CRX', 'EN1', 'EOMES', 'HOXA9', 'KLF5', 'MAZ', 'MYBL2', 'MYF5', 'MYOD1', 'MYOG', 'NANOG', 'NEUROG2', 'NFYA', 'NKX6-1', 'NR2E1', 'PRDM14', 'PTF1A', 'SMAD3', 'SNAI1', 'SNAI2', 'SP2', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'TWIST2', 'ZEB1', 'ZEB2', 'ZNF341']","['CTCF', 'GLIS2', 'KLF1', 'KLF10', 'KLF8', 'KLF9', 'L3MBTL2', 'PRDM10', 'SCRT1', 'SCRT2', 'SP2', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB8A', 'ZFX', 'ZNF189', 'ZNF335', 'ZNF341', 'ZNF391', 'ZNF449', 'ZNF561', 'ZNF660', 'ZNF843', 'ZSCAN5A']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
