chrom,start,end,CC_R1,CC_R2,CC_R3,FOXA1_R1,FOXA1_R2,FOXA1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,2290683,2291250,3.660195062949717,3.1647142666406856,2.873676964152719,3.0761854666341244,2.84640425398245,3.020678313821689,"['RER1', 'SKI']","[-0.0142386757974202, 0.0534667385872746]","[0.916316794430066, 0.623805372750549]","['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,10319843,10320343,2.117047248036237,2.520087079413718,3.079484067686204,1.8242896490099765,1.8742478310445696,1.9851126654964215,"['PGD', 'KIF1B']","[0.261449206730754, 0.0536172015689006]","[0.0082662127896959, 0.677119766309547]","['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'SIX2', 'SIX4', 'SOX6', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
chr1,13762633,13763133,1.864073872075118,1.6120986790976912,1.5816592183684512,1.2764678260984763,1.4005861826119357,1.3021631988215534,"['PRDM2', 'KAZN']","[0.297120597307726, 0.50086538357754]","[0.0083057398865559, 1.20082610100098e-06]","['AR', 'ASCL1', 'ASCL2', 'BHLHA15', 'HOXA11', 'MAFB', 'MAFK', 'MYF5', 'MYOD1', 'MYOG', 'NKX3-1', 'PTF1A', 'SMAD3', 'TAL1', 'TBP', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TWIST2', 'ZBTB18', 'ZNF263', 'ZNF341']","['PRDM10', 'ZNF263', 'ZNF600', 'ZNF664']","['H3K27ac', 'H3K4me1']"
chr1,38985449,38985978,1.2788861733257169,1.1545114122925957,1.280454802462071,1.0093211837766085,0.8944158421773254,1.066259938828547,"['AKIRIN1', 'RHBDL2']","[0.168584086706219, -0.251838523081256]","[0.0312657215113773, 0.592833166320702]","['CRX', 'ESRRA', 'FOXA1', 'FOXD3', 'FOXH1', 'FOXL2', 'FOXM1', 'GSC', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'NFATC1', 'NKX2-1', 'NKX2-2', 'OTX2', 'PGR', 'PITX1', 'RBPJ', 'SMAD3', 'STAT1', 'STAT3', 'STAT4', 'STAT5A', 'STAT6', 'TBP', 'TRPS1']","['EGR2', 'GLIS1', 'IKZF3', 'PRDM1', 'PRDM10', 'ZFHX2', 'ZNF341', 'ZNF600']",['H3K4me1']
chr1,61163059,61163559,1.994572985333332,1.871030203053773,1.55262353582558,1.3952118749524671,1.642283506181638,1.4998734085625027,"['TM2D1', 'NFIA']","[0.0085202602473428, 0.221445692695555]","[0.953406959059249, 0.0267410040836819]","['AR', 'BARX1', 'HOXA11', 'HOXA9', 'HOXD12', 'NANOG', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'PITX1', 'RFX6', 'RUNX1', 'RUNX2', 'SMAD2', 'SMAD3', 'SMAD4', 'STAT6', 'TAL1', 'TBX5', 'TEAD1', 'TEAD3', 'TEAD4']",['PRDM6'],['H3K4me1']
chr1,61221650,61222150,1.5001867382341585,1.453692270612207,1.3471806213381492,1.144245912981945,1.1566876765857317,1.218087986830808,"['TM2D1', 'NFIA']","[0.0085202602473428, 0.221445692695555]","[0.953406959059249, 0.0267410040836819]","['DLX1', 'DLX2', 'DMC1', 'EHF', 'ELF3', 'ELF5', 'EN1', 'ERG', 'FOXD3', 'GATA3', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD13', 'MEIS1', 'NKX6-1', 'POU1F1', 'SOX9', 'SPI1', 'TGIF1', 'TGIF2', 'TRPS1']","['PRDM1', 'PRDM6', 'ZBTB17', 'ZNF335', 'ZNF76']",['H3K4me1']
chr1,64245339,64245887,2.847406075854366,3.2887072508371347,2.8465873739469725,1.9567836538791092,2.1886052671498404,2.028795054917784,['CACHD1'],[0.15977746914086],[0.0397732644006856],"['ARNT', 'ARNTL', 'BHLHE41', 'CLOCK', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXF1', 'FOXK1', 'FOXK2', 'FOXL2', 'FOXO1', 'FOXO3', 'FOXP1', 'GABPA', 'IRF3', 'IRF8', 'MEIS1', 'MNT', 'MYC', 'NANOG', 'NKX3-1', 'NKX3-2', 'NPAS1', 'NPAS2', 'PGR', 'PITX1', 'PTF1A', 'RUNX1', 'SPDEF', 'SPI1', 'TBX21', 'TCF12', 'TGIF1', 'TGIF2']","['IKZF3', 'TRIM28', 'ZBTB20', 'ZNF518A']","['H3K27ac', 'H3K4me1']"
chr1,86780598,86781098,1.9548591279701524,1.5823100014842453,1.6211869176363678,1.6891579457731902,1.1616151629089633,1.225531911108395,"['SELENOF', 'SH3GLB1']","[-0.0623342691566174, 0.0660865552209211]","[0.58954253693803, 0.456882874357938]","['AR', 'ARNTL', 'ATF4', 'CLOCK', 'DDIT3', 'EBF1', 'EBF2', 'HLF', 'HOXA10', 'HOXD12', 'MAX', 'MNT', 'MYB', 'MYBL1', 'NFIL3', 'NFIX', 'NPAS1', 'NPAS2', 'PTF1A', 'RBPJ', 'RFX6', 'RUNX1', 'RUNX2', 'ZFP809', 'ZIC1', 'ZNF416', 'ZNF652']","['CTCF', 'FEZF1', 'IKZF3', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM6', 'SP7', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB48', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF24', 'ZNF335', 'ZNF366', 'ZNF384', 'ZNF558', 'ZNF600', 'ZNF654', 'ZNF692', 'ZNF770', 'ZNF785', 'ZSCAN21', 'ZSCAN30']",['H3K27ac']
chr1,91792767,91793267,1.4418778632631877,1.634232627311281,1.326475846850188,1.094045359895803,1.296926593789148,1.2927869330493085,"['TGFBR3', 'CDC7']","[0.0010939541858926, 0.0261507289570757]","[0.998379509248418, 0.805663365224343]","['AR', 'CDX4', 'DLX1', 'FOXO1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'HOXD13', 'IRF4', 'KLF10', 'MEF2B', 'MYB', 'MYBL2', 'NFYA', 'NKX6-1', 'P300', 'PITX1', 'POU1F1', 'RBPJ', 'TAL1', 'TBX5', 'TGIF1', 'TGIF2', 'THRA', 'THRB', 'ZIC1', 'ZIC2', 'ZIC3']","['CTCF', 'GLIS1', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'PATZ1', 'PRDM1', 'SCRT2', 'SP7', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZBTB48', 'ZEB2', 'ZNF335', 'ZNF341', 'ZNF394', 'ZNF449', 'ZNF561', 'ZNF600', 'ZNF629', 'ZNF664', 'ZSCAN21']",['H3K4me1']
chr1,101291705,101292205,4.387002916350573,4.7018328292269205,4.667103166882433,3.4164308110651533,3.447924586997249,3.4508525555925704,"['S1PR1', 'OLFM3']","[0.147161547118305, -3.76652820464225]","[0.516403910188124, 0.102222296023129]","['ARNT', 'ARNTL', 'BHLHE40', 'BHLHE41', 'CLOCK', 'EHF', 'ELF3', 'ERG', 'ETV2', 'FLI1', 'HAND2', 'HIF1A', 'HOXA11', 'HOXA13', 'HOXD13', 'MAX', 'MNT', 'MYBL2', 'MYC', 'MYCN', 'NANOG', 'NPAS1', 'NPAS2', 'P300', 'PTF1A', 'RARA', 'RBPJ', 'RUNX1', 'RUNX2', 'SIX2', 'TAL1', 'TBP', 'TBX21', 'TCF12', 'THRB', 'USF1', 'USF2', 'ZNF263']","['EGR2', 'FEZF1', 'GFI1B', 'GLI2', 'INSM2', 'L3MBTL2', 'OSR2', 'PRDM1', 'PRDM4', 'PRDM6', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB17', 'ZBTB44', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF221', 'ZNF24', 'ZNF263', 'ZNF335', 'ZNF366', 'ZNF394', 'ZNF513', 'ZNF518A', 'ZNF561', 'ZNF580', 'ZNF610', 'ZNF629', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
