chrom,start,end,CC_R1,CC_R2,CC_R3,ATF2_R1,ATF2_R2,ATF2_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,7401749,7402291,2.5527592032989186,2.5080765163597767,2.1091981958611306,3.3388140844500698,3.743665407506744,4.4434431977205415,"['VAMP3', 'CAMTA1']","[0.254824373641116, 0.285539913303416]","[0.0020075919973827, 0.0001000373508451]","['ATF1', 'ATF3', 'BATF', 'BCL6', 'CRX', 'DMRT1', 'DMRTB1', 'FOSL1', 'FOSL2', 'GSC', 'HOXA9', 'JUN', 'JUNB', 'MAFA', 'MEIS1', 'NKX3-1', 'NKX3-2', 'OTX2', 'PITX1', 'PRDM10', 'TBX20', 'TBX5', 'TBX6', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TGIF1', 'TGIF2']","['ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PRDM1', 'PRDM10', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZBTB6', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF169', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF292', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,9163822,9164322,1.2212078238508564,1.4283367354330594,1.1092387478281611,1.3510801698949049,1.705082143770671,1.1907089710081946,"['H6PD', 'GPR157']","[0.599663947363568, -0.0327956331499474]","[7.23385284419826e-06, 0.721298548662379]","['ATF1', 'ATF2', 'ATF3', 'ATF7', 'BATF', 'CREB5', 'CRX', 'EBF1', 'FOSL1', 'FOSL2', 'GSC', 'JUN', 'JUNB', 'KLF5', 'LEF1', 'MITF', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NR2F1', 'NR2F2', 'NR2F6', 'PITX1', 'PLAGL1', 'PRDM10', 'RARA', 'RELA', 'RUNX1', 'SOX10', 'SOX3', 'SOX4', 'SOX6', 'STAT4', 'TBR1', 'TCF7L1', 'THRA', 'THRB']","['ATF2', 'BCL11A', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'MZF1', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'WT1', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF121', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF426', 'ZNF449', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF707', 'ZNF76', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,21334249,21334851,0.9174750691735132,0.7852542949506283,0.8226029230348885,2.344649080960843,1.3096584265708189,1.4944056611862415,"['NBPF3', 'ECE1']","[-0.437951062890545, 0.336939433644191]","[3.92267435649906e-07, 2.53593290165579e-05]","['EBF1', 'EBF2', 'ELK1', 'ESRRA', 'ETS1', 'ETV4', 'FLI1', 'FOXO1', 'MYOD1', 'NANOG', 'NR2F1', 'NR2F2', 'RBPJ', 'STAT3', 'STAT4', 'TAL1', 'TFAP2A', 'THRB', 'ZFP57', 'ZNF263', 'ZNF415', 'ZNF416']","['CTCF', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'KLF1', 'KLF17', 'KLF7', 'KLF8', 'OSR2', 'PRDM10', 'PRDM2', 'SCRT2', 'SP2', 'ZBTB17', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF2', 'ZNF394', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF600', 'ZNF623', 'ZSCAN30']",['H3K27ac']
chr1,93906154,93906654,1.4615787712647708,1.708175569784128,1.68529789453797,2.0016216430710734,1.7101481773047935,1.880706870914496,"['DNTTIP2', 'GCLM']","[-0.391179548918234, -0.131748781469226]","[1.74464837574714e-05, 0.264944704565937]","['BCL6', 'DLX1', 'DLX2', 'ELF4', 'ELK1', 'ELK4', 'ETV4', 'FLI1', 'NANOG', 'NKX2-1', 'NKX2-2', 'NKX3-1', 'NKX6-1', 'NR2F2', 'PBX2', 'PITX1', 'RELA', 'STAT1', 'STAT4', 'STAT5A', 'STAT6', 'TEAD1', 'TEAD3', 'ZNF263']","['OSR2', 'SP7', 'ZNF34', 'ZNF366', 'ZNF843']",['H3K4me1']
chr1,154418165,154418842,1.9746125080483277,1.8153612700942716,1.55075938521964,3.0588804186484952,2.3150032660760345,2.1704948034628533,"['SHE', 'IL6R']","[3.99895439281778, 2.06352115767099]","[1.10710574390224e-08, 3.56282972632738e-14]","['ATF3', 'BACH2', 'BATF', 'BHLHA15', 'EGR1', 'FOSL1', 'FOSL2', 'FOXA1', 'FOXA3', 'FOXM1', 'ISL1', 'JUN', 'JUNB', 'KLF14', 'MAFA', 'MAFK', 'MYOG', 'NANOG', 'NFIX', 'NKX6-1', 'NR2E1', 'NR5A2', 'PGR', 'PLAGL1', 'POU1F1', 'PTF1A', 'RARA', 'RFX5', 'RFX6', 'SF1', 'SIX2', 'SMAD3', 'SNAI1', 'SNAI2', 'TCF12', 'TCF3', 'TCF4', 'TFCP2L1', 'TP63', 'TWIST2', 'WT1', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF281', 'ZNF519', 'ZNF711']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'PATZ1', 'PRDM10', 'SCRT1', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZFHX2', 'ZFP37', 'ZNF148', 'ZNF184', 'ZNF189', 'ZNF263', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF529', 'ZNF629', 'ZNF639', 'ZNF692', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN5A', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,167659394,167659894,1.2248977193785655,1.4423860892347058,1.1392823773044842,2.644743760286143,2.998876692475656,2.3511679123990543,"['RCSD1', 'MPZL1']","[3.4955634854436, 0.142486597739092]","[2.76804141554156e-06, 0.0199139173181514]","['ARNTL', 'BCL11A', 'BHLHE41', 'CLOCK', 'EBF1', 'GRHL2', 'HAND2', 'HOXA11', 'HOXA9', 'HOXD11', 'HOXD12', 'MAX', 'MAZ', 'MEIS1', 'MNT', 'MYC', 'MYCN', 'MYF5', 'NPAS1', 'NPAS2', 'PRDM15', 'PTF1A', 'RBPJ', 'SMAD2', 'SMAD3', 'SMAD4', 'TAL1', 'TCF12', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TFAP4', 'TGIF1', 'TGIF2', 'USF1', 'USF2', 'WT1', 'ZIC1', 'ZNF416', 'ZNF7']","['IKZF3', 'L3MBTL2', 'PRDM6', 'ZBTB12', 'ZBTB17', 'ZBTB44', 'ZBTB48', 'ZNF335', 'ZNF600', 'ZNF76', 'ZSCAN21', 'ZSCAN30']","['H3K27ac', 'H3K4me1']"
chr1,183945184,183945684,2.217845851704896,2.133613507980656,2.2086801009369394,2.179286705587044,1.682512859632538,1.756930992099886,['COLGALT2'],[0.085020990816105],[0.36334783061567],"['ASCL1', 'ATOH1', 'BARX1', 'BHLHA15', 'CDX2', 'CDX4', 'FOXK1', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD13', 'MAFB', 'MAFK', 'NEUROG2', 'NKX3-1', 'NKX3-2', 'OLIG2', 'PITX1', 'PLAGL1', 'POU1F1', 'PRDM14', 'PTF1A', 'RFX6', 'SMAD2', 'SMAD3', 'SMAD4', 'TAL1', 'TBR1', 'TBX21', 'TCF12', 'TCF4', 'TFAP2C', 'THRA', 'THRB', 'TWIST2', 'ZFX', 'ZNF711']","['ATF2', 'FEZF1', 'ZSCAN5C']",['H3K4me1']
chr1,202200260,202200760,2.748832992543353,3.2651184281784165,2.2289778674563663,5.31746644028684,2.7200034125271904,3.086903018169525,"['UBE2T', 'LGR6']","[-0.196422067985964, -1.01171343240016]","[0.0087769913753139, 0.0042710071160833]","['ATF3', 'BATF', 'ESRRA', 'ESRRB', 'FOSL1', 'FOSL2', 'HOXA11', 'HOXA9', 'HOXD11', 'ISL1', 'JUN', 'JUNB', 'LHX3', 'NANOG', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-2', 'NKX6-1', 'NR2F1', 'NR2F2', 'NR2F6', 'PLAGL1', 'RARA', 'SMAD3', 'SNAPC1', 'TAL1', 'TBX5', 'THRB', 'ZNF263', 'ZNF467']","['ATF2', 'CTCF', 'EGR2', 'GLI4', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'PATZ1', 'PRDM1', 'SP7', 'WT1', 'YY1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF263', 'ZNF324', 'ZNF366', 'ZNF37A', 'ZNF394', 'ZNF398', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4']",['H3K4me1']
chr1,209456831,209457331,1.3332766801640286,1.790074398472408,1.512472528462581,1.7101094804953052,2.0918653772350333,1.9106556398728205,['CAMK1G'],[2.9359039099817],[5.80274812450321e-07],"['ARNTL', 'ATF3', 'BACH2', 'BATF', 'CLOCK', 'CRX', 'DLX1', 'DLX2', 'DMC1', 'EBF1', 'EBF2', 'ESRRA', 'FOSL1', 'FOSL2', 'FOXO1', 'GFI1B', 'JUN', 'JUNB', 'MAFK', 'MITF', 'MNT', 'NANOG', 'NFE2', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-2', 'NKX6-1', 'NPAS1', 'NPAS2', 'NR2F1', 'NR2F2', 'NR2F6', 'PDX1', 'RARA', 'TAL1', 'TFAP4', 'TGIF1', 'TGIF2', 'THRB', 'USF2', 'ZIC1', 'ZNF263', 'ZNF652']","['ATF2', 'FEZF1', 'GFI1B', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SP2', 'SP7', 'TSHZ1', 'ZBTB1', 'ZBTB17', 'ZBTB48', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF24', 'ZNF324', 'ZNF366', 'ZNF37A', 'ZNF398', 'ZNF530', 'ZNF558', 'ZNF561', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF76', 'ZNF785', 'ZSCAN23']",['H3K4me1']
chr1,223642371,223642871,3.391180947818917,3.0993675389363045,2.7783789588457752,3.5980098799998186,2.1956824437304645,2.357271395693092,['CAPN8'],[1.31558500544568],[0.06826127226621],"['AR', 'BCL6', 'EBF2', 'ERG', 'ETV1', 'ETV2', 'GLI3', 'HOXD12', 'LEF1', 'MEF2A', 'MEF2B', 'NKX2-2', 'NR2F2', 'RFX6', 'RORA', 'STAT3', 'THRB', 'ZBTB7A', 'ZNF652', 'ZNF669']","['GLIS1', 'GLIS2', 'IKZF3', 'MAZ', 'PATZ1', 'PRDM6', 'ZIC2', 'ZNF223', 'ZNF24', 'ZNF302', 'ZNF335', 'ZNF341', 'ZNF398', 'ZNF518A', 'ZNF660', 'ZNF677']",['H3K4me1']
