chrom,start,end,CC_R1,CC_R2,CC_R3,LEF1_R1,LEF1_R2,LEF1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,940992,941492,4.0853472400557305,3.4778588313178216,3.886766059796104,2.979512858630741,4.616173255465855,4.033434173721524,"['NOC2L', 'SAMD11']","[0.215612152942441, -1.51060106930885]","[0.015431786680262, 1.90145886160735e-09]","['ASCL1', 'ASCL2', 'ATOH1', 'BHLHA15', 'EBF1', 'FOXO1', 'GLI3', 'HINFP', 'MAFA', 'MYOD1', 'MYOG', 'NEUROD1', 'NEUROG2', 'NR2F2', 'PLAGL1', 'PTF1A', 'RFX6', 'SNAI1', 'SNAI2', 'TAL1', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZNF263', 'ZNF322', 'ZNF711']","['BCL11A', 'BCL11B', 'CTCF', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'KLF7', 'KLF8', 'L3MBTL2', 'MAZ', 'MZF1', 'PATZ1', 'PRDM2', 'SP2', 'SP3', 'SP7', 'ZBTB10', 'ZBTB11', 'ZBTB20', 'ZBTB26', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZFP37', 'ZFX', 'ZNF121', 'ZNF2', 'ZNF335', 'ZNF341', 'ZNF391', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF677', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,1063998,1064498,6.862075926158773,5.984171501048556,3.5291403890999224,7.148934508087628,11.169436747886824,13.681788005944927,['AGRN'],[0.283049089424406],[0.0133613467879935],"['AR', 'ARNTL', 'ASCL1', 'ATF1', 'ATF3', 'BATF', 'BCL11A', 'DMC1', 'E2F4', 'E2F6', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETV1', 'FOSL1', 'FOSL2', 'GABPA', 'JUN', 'JUNB', 'KLF1', 'KLF5', 'MAFA', 'MEIS1', 'MYOD1', 'NFIL3', 'NFIX', 'NPAS1', 'NPAS2', 'PTF1A', 'RELA', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'SPDEF', 'TAL1', 'TBX20', 'TBX5', 'TCF12', 'TGIF1', 'TGIF2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZIC3', 'ZNF519', 'ZNF711']","['ARNT', 'BCL11A', 'CTCF', 'EGR2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'KLF9', 'MAZ', 'OSR2', 'PATZ1', 'PRDM10', 'SCRT1', 'SCRT2', 'SP2', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF76', 'ZNF770', 'ZNF785', 'ZSCAN23', 'ZXDB']","['H3K4me1', 'H3K4me3']"
chr1,2189873,2190373,3.519769017679118,3.033928976292096,2.6777130545397685,2.9678120112752824,2.79303366986711,2.948173653267458,"['FAAP20', 'PRKCZ']","[0.0506574119288998, 0.0292636889495149]","[0.751094141888251, 0.823333735919976]","['FOXA1', 'FOXA2', 'FOXA3', 'FOXD3', 'FOXF1', 'FOXK1', 'FOXK2', 'FOXL2', 'FOXM1', 'FOXO1', 'FOXO3', 'FOXP1', 'GLI2', 'GLI3', 'HAND2', 'NFIX', 'NKX2-5', 'NRF1', 'PGR', 'SMAD2', 'SMAD3', 'SMAD4', 'TBX5', 'THRB', 'ZFP809', 'ZIC1', 'ZNF341', 'ZNF415', 'ZNF416']","['GLIS1', 'GLIS2', 'HIC1', 'KLF8', 'KLF9', 'MAZ', 'PATZ1', 'SP2', 'SP3', 'SP7', 'YY1', 'ZBTB20', 'ZBTB26', 'ZEB2', 'ZIC2', 'ZNF189', 'ZNF335', 'ZNF391', 'ZNF449', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF692', 'ZXDB']",['H3K27ac']
chr1,3402386,3402886,4.551903100966254,3.981297578013472,3.534991086031455,4.118142889095901,4.4464631310798,4.18205496604037,"['PRDM16', 'ARHGEF16']","[-0.0228532550858972, 0.481931370090227]","[0.909041925401499, 0.0006650150463534]","['ARNTL', 'EBF1', 'EBF2', 'FOXK2', 'FOXO1', 'GFI1B', 'MYCN', 'NANOG', 'NPAS1', 'PLAGL1', 'PRDM10', 'RFX1', 'RFX5', 'SP2', 'TFAP2A', 'TFAP2C', 'ZBTB7A', 'ZFX', 'ZNF416', 'ZNF692']","['AEBP2', 'ATF2', 'BCL11A', 'BCL6B', 'CTBP1', 'EGR2', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF7', 'KLF8', 'KLF9', 'L3MBTL2', 'MAZ', 'MZF1', 'OSR2', 'OVOL3', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SP2', 'SP7', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB12', 'ZBTB20', 'ZBTB44', 'ZBTB48', 'ZBTB6', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF121', 'ZNF18', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF324', 'ZNF335', 'ZNF34', 'ZNF341', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF423', 'ZNF449', 'ZNF488', 'ZNF501', 'ZNF513', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF610', 'ZNF629', 'ZNF639', 'ZNF645', 'ZNF680', 'ZNF692', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,3405116,3405616,4.390844929676622,4.679180935801523,5.256802064991732,3.724026258803825,5.538129092464595,5.981158729217705,"['PRDM16', 'ARHGEF16']","[-0.0228532550858972, 0.481931370090227]","[0.909041925401499, 0.0006650150463534]","['AR', 'ARNTL', 'GLI3', 'HINFP', 'ISL1', 'KLF14', 'MYB', 'NFIX', 'NPAS1', 'PRDM14', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX6', 'SP2', 'TFCP2L1', 'TP53', 'TP63', 'TP73', 'ZFX', 'ZNF416', 'ZNF711']","['ZNF263', 'ZNF449', 'ZNF770']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,6271640,6272140,3.091283214152384,3.156269684736536,2.8728054326775148,2.8998478923682813,2.585854640993463,3.008601496551414,"['GPR153', 'ACOT7']","[-0.264242778503001, 0.394932020565282]","[0.0765924396012576, 0.0002796848687186]","['CTCFL', 'ESRRA', 'GLI3', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-5', 'NKX3-2', 'PLAGL1', 'RARA', 'RUNX1', 'RUNX2', 'SMAD3', 'SOX10', 'SOX3', 'SOX6', 'TAL1', 'THRB', 'ZBTB7A', 'ZFX', 'ZNF519', 'ZNF711']","['ATF2', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'KLF9', 'MAZ', 'OSR2', 'PATZ1', 'PRDM10', 'REST', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF398', 'ZNF423', 'ZNF561', 'ZNF600', 'ZNF629', 'ZNF660', 'ZNF692', 'ZNF76', 'ZNF770', 'ZNF785']",['H3K4me1']
chr1,7401549,7402232,2.721500738165204,2.6950295430298734,2.2459153892455483,5.976080584753067,6.04637714670143,7.933248461391665,,,,"['ATF3', 'BATF', 'CDX2', 'CDX4', 'CRX', 'DMRT1', 'DMRTB1', 'FOSL1', 'FOSL2', 'FOXD3', 'FOXK2', 'FOXO1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'JUN', 'JUNB', 'KLF14', 'KLF5', 'MAZ', 'MEF2A', 'MEF2B', 'MEF2C', 'NR2F6', 'ONECUT1', 'ONECUT2', 'PITX1', 'RARA', 'RBPJ', 'RFX6', 'SP5', 'TAL1', 'TBX5', 'THRB', 'ZIC1', 'ZNF263', 'ZNF341']","['ATF2', 'BCL11A', 'FEZF1', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'KLF8', 'OSR2', 'OVOL3', 'PRDM1', 'PRDM10', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZBTB6', 'ZEB1', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF169', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF263', 'ZNF292', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
chr1,9163813,9164313,1.2297031826254707,1.4340987122524504,1.1186710501056114,1.2151473488403235,1.354868186869196,1.2186081063761427,"['H6PD', 'GPR157']","[-0.266519418578393, -0.248615304804303]","[0.0560963640655494, 0.0136247534757492]","['ATF1', 'ATF2', 'ATF3', 'ATF7', 'BATF', 'CREB5', 'CRX', 'EBF1', 'FOSL1', 'FOSL2', 'GSC', 'JUN', 'JUNB', 'KLF5', 'LEF1', 'MITF', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NKX3-1', 'NR2F1', 'NR2F2', 'NR2F6', 'PITX1', 'PLAGL1', 'PRDM10', 'RARA', 'RELA', 'RUNX1', 'SOX6', 'STAT4', 'TBR1', 'TCF7L1', 'THRA', 'THRB']","['ATF2', 'BCL11A', 'FEZF1', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'KLF17', 'KLF8', 'MZF1', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'RBAK', 'SCRT2', 'SP3', 'SP7', 'TRIM28', 'WT1', 'YY2', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF10', 'ZNF121', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF280D', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF426', 'ZNF449', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF558', 'ZNF580', 'ZNF623', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF707', 'ZNF76', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,10339603,10340103,2.7672321424265087,3.3346774388555454,2.7595474017733066,3.103618360543993,3.822289979934282,3.2153775496014694,"['PGD', 'KIF1B']","[0.285324548155908, -0.15051767812139]","[0.0050402855864576, 0.168365881516381]","['ARNTL', 'ATOH1', 'BHLHA15', 'CDX4', 'ELF4', 'EOMES', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'NEUROG2', 'NFIX', 'NKX2-5', 'NPAS1', 'OLIG2', 'PGR', 'PLAGL1', 'RARA', 'RELA', 'SOX10', 'SOX15', 'SOX17', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX7', 'SPI1', 'TAL1', 'TBR1', 'TBX5', 'TBX6', 'TCF4', 'TGIF2', 'TRPS1', 'TWIST2', 'ZBTB7A']","['ATF2', 'GLIS1', 'KLF1', 'KLF8', 'KLF9', 'PRDM1', 'PRDM10', 'ZBTB21', 'ZNF366', 'ZNF629', 'ZNF660']",['H3K4me1']
chr1,10528304,10528804,1.6417819941192089,2.306404281036764,1.644068781669944,2.269293494008039,2.0383670146894315,2.8430646716569754,['PEX14'],[0.230724465632674],[0.0079380438552641],"['ATF3', 'BATF', 'CEBPA', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'EN1', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOSL1', 'FOSL2', 'FOXO1', 'GABPA', 'GLI2', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD12', 'JUN', 'JUNB', 'LHX1', 'LHX3', 'MEIS1', 'NANOG', 'NKX3-2', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'TAL1', 'TBR1', 'TBX21', 'TBX5', 'TBX6', 'TEAD1', 'TEAD3', 'TEAD4', 'TGIF1', 'TGIF2', 'ZNF263', 'ZNF7']","['BCL11A', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF17', 'MAZ', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP3', 'SP7', 'TSHZ1', 'WT1', 'ZBTB17', 'ZBTB21', 'ZBTB48', 'ZEB1', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF518A', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF660', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN4', 'ZXDB']",['H3K4me1']
