chrom,start,end,CC_R1,CC_R2,CC_R3,CTCF_R1,CTCF_R2,CTCF_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144049,1144951,8.075110464563544,6.816433940376663,6.282904360523525,8.02205951925235,7.489551817152368,6.688274667219769,['C1orf159'],[-0.0549265464260657],[0.719612780054976],"['ASCL1', 'ASCL2', 'BHLHA15', 'DLX1', 'EN1', 'FOXA2', 'KLF5', 'LHX1', 'LHX2', 'LHX3', 'MAZ', 'NANOG', 'NFIX', 'NKX6-1', 'PLAGL1', 'PTF1A', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,1907075,1907650,7.013222074114919,6.680186603262929,7.515588585766678,7.266491672047636,8.223203828087366,7.727124737058765,['CALML6'],[-0.747356875087466],[0.139906430485615],"['AR', 'ATF4', 'BCL6', 'CTCFL', 'DDIT3', 'EBF1', 'EBF2', 'FOXD3', 'FOXM1', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'PLAGL1', 'RARA', 'RFX6', 'SMAD3', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZFX', 'ZNF165', 'ZNF263', 'ZNF415', 'ZNF416', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,2290663,2291163,3.3522377248855344,3.0086088965371283,2.7042888532765543,3.0782964086140603,3.468710681768233,2.8685616619784,,,,"['ATF3', 'BCL6', 'DLX1', 'DLX2', 'ERG', 'ETS1', 'FLI1', 'FOSL1', 'FOSL2', 'ISL1', 'JUN', 'LHX1', 'LHX3', 'NANOG', 'NFIA', 'NFIL3', 'NKX6-1', 'NR2E1', 'RFX6', 'STAT1', 'STAT3', 'STAT4', 'STAT5A', 'ZFX', 'ZIC1', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170772,3171272,4.707813617258405,4.264132658311839,4.456899388047455,4.568324991172469,4.632096837993782,4.67831500006999,,,,"['AR', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'ISL1', 'MEIS1', 'NANOG', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['EGR2', 'GLIS1', 'GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7954029,7954550,4.655227653286271,5.840697443448095,4.053997954068055,5.200257105770118,6.151684837968982,4.7881135516192845,"['PARK7', 'TNFRSF9']","[0.0115702100327931, -0.243666270421148]","[0.941738031311648, 0.621817965208667]","['AR', 'ATF1', 'E2F4', 'EBF2', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'MAZ', 'NFYA', 'NR2F2', 'RBPJ', 'SMAD2', 'SMAD3', 'SMAD4', 'SP1', 'SP2', 'SP5', 'THRB', 'WT1', 'ZBTB7A', 'ZIC2', 'ZNF416', 'ZNF467']",,"['H3K27ac', 'H3K4me3']"
chr1,8449004,8449504,1.6989160167670303,1.4941438676633136,1.4370925649202284,1.681360092180347,1.4038833340859629,1.4768696296105264,"['RERE', 'SLC45A1']","[0.156389167155799, 0.916496523646748]","[0.107702527515361, 0.183472289717213]","['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'PITX1', 'POU1F1', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571494,8571994,2.035278556462583,2.4797890550139208,2.264842773734438,1.8821627823562328,2.373757659671954,2.179389500937805,"['RERE', 'SLC45A1']","[0.156389167155799, 0.916496523646748]","[0.107702527515361, 0.183472289717213]","['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXA1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NPAS1', 'OTX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX9', 'SPDEF', 'TAL1', 'TBP', 'THRB', 'TRPS1', 'ZNF711']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532876,9533376,3.156604151828775,2.498972387349529,3.100318108045364,2.7541887130895386,1.9738400506160527,2.7841364014241394,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,9891023,9891550,2.632087418929915,2.8794959604932444,2.94492854732964,3.0384920641181363,3.8234383610936127,3.0848512552138123,['CTNNBIP1'],[0.105059390005112],[0.480265549820496],"['E2F3', 'EBF1', 'KLF14', 'KLF6', 'MEIS1', 'NR2F1', 'NR2F2', 'NR2F6', 'OLIG2', 'PLAGL1', 'PRDM15', 'RBPJ', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,10319812,10320346,2.1426646363928663,2.5237983842185825,3.143558849100572,2.24786311128924,2.3351143385583755,2.680947401130364,,,,"['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'NR2F2', 'PLAGL1', 'SIX2', 'SIX4', 'SOX6', 'THRB', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
