chrom,start,end,CC_R1,CC_R2,CC_R3,16P12_1_R1,16P12_1_R2,16P12_1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,9532836,9533336,3.040780433596299,2.420877830415979,2.9851730710287736,2.321285034237313,1.5353300428825571,2.1158505040331392,"['SLC25A33', 'SPSB1']","[-0.0691878644329789, -0.0602630889833442]","[0.606975193333081, 0.817949852272443]","['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'MYB', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TFCP2L1', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,10319843,10320343,2.117047248036237,2.520087079413718,3.079484067686204,2.153672127811949,2.5583658603081334,2.306679174164726,"['PGD', 'KIF1B']","[-0.0658936865436018, -0.186317408316624]","[0.639498331529317, 0.10900196379276]","['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'SIX2', 'SIX4', 'SOX6', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
chr1,13762633,13763133,1.864073872075118,1.6120986790976912,1.5816592183684512,1.5002802645703284,1.4527480209157786,1.2192812722834785,"['PRDM2', 'KAZN']","[-0.0622488893415362, 0.0576193022684119]","[0.710131862285973, 0.668656348063665]","['AR', 'ASCL1', 'ASCL2', 'BHLHA15', 'HOXA11', 'MAFB', 'MAFK', 'MYF5', 'MYOD1', 'MYOG', 'NKX3-1', 'PTF1A', 'SMAD3', 'TAL1', 'TBP', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TWIST2', 'ZBTB18', 'ZNF263', 'ZNF341']","['PRDM10', 'ZNF263', 'ZNF600', 'ZNF664']","['H3K27ac', 'H3K4me1']"
chr1,16176321,16176857,1.915346260913389,1.6208977523754384,1.6809747821688037,1.213032630738596,1.223626063752535,1.434743826168341,"['ARHGEF19', 'EPHA2']","[0.158746253997013, 0.275179365650398]","[0.569694075986818, 0.0140861873911924]","['ASCL1', 'ATOH1', 'DMC1', 'EBF1', 'EGR1', 'ERG', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXD3', 'FOXO1', 'GABPA', 'GLI3', 'HOXA13', 'KLF14', 'MAZ', 'NEUROG2', 'PITX1', 'SMAD3', 'SMAD4', 'TAL1', 'TBP', 'TWIST2', 'ZNF263', 'ZNF415']","['BCL11A', 'GFI1B', 'INSM2', 'KLF8', 'PATZ1', 'PRDM1', 'PRDM10', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZEB2', 'ZFP69B', 'ZNF18', 'ZNF2', 'ZNF266', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF561', 'ZNF596', 'ZNF623', 'ZNF629', 'ZNF660', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,59214811,59215311,2.2197552159032967,2.128922040774735,1.8659822746965105,1.834402406892448,1.8537164573052072,1.762299645167547,"['JUN', 'FGGY']","[-0.0971664775730706, -0.442199412157326]","[0.569820968811674, 0.0118082193084055]","['ARNTL', 'ASCL1', 'ATF1', 'ATF4', 'ATF7', 'ATOH1', 'BHLHA15', 'CUX2', 'DDIT3', 'EBF1', 'EBF2', 'FOXK2', 'HLF', 'LHX1', 'MAX', 'MNT', 'MYB', 'MYBL1', 'MYOG', 'NEUROG2', 'NFIL3', 'NPAS1', 'OLIG2', 'ONECUT1', 'ONECUT2', 'PHOX2A', 'PITX1', 'PLAGL1', 'PRDM10', 'PROP1', 'PTF1A', 'RUNX1', 'RUNX2', 'SF1', 'TAL1', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'TFAP2C', 'TFAP4', 'THRB', 'TWIST2', 'ZFX', 'ZNF711']","['ARNT', 'ATF2', 'BCL11A', 'BCL6B', 'CTBP1', 'FEZF1', 'FOXA1', 'FOXK2', 'GFI1B', 'GLI2', 'GLIS1', 'GLIS2', 'IKZF3', 'INSM2', 'KLF1', 'KLF10', 'KLF7', 'KLF8', 'L3MBTL2', 'LEF1', 'MAZ', 'MYNN', 'MZF1', 'OSR2', 'OVOL3', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SCRT1', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'YY1', 'ZBTB1', 'ZBTB10', 'ZBTB11', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB26', 'ZBTB44', 'ZBTB48', 'ZBTB8A', 'ZEB1', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF146', 'ZNF174', 'ZNF18', 'ZNF184', 'ZNF189', 'ZNF2', 'ZNF239', 'ZNF24', 'ZNF302', 'ZNF324', 'ZNF335', 'ZNF34', 'ZNF341', 'ZNF366', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF404', 'ZNF423', 'ZNF449', 'ZNF488', 'ZNF501', 'ZNF513', 'ZNF518A', 'ZNF529', 'ZNF558', 'ZNF561', 'ZNF580', 'ZNF596', 'ZNF600', 'ZNF610', 'ZNF623', 'ZNF626', 'ZNF629', 'ZNF639', 'ZNF645', 'ZNF660', 'ZNF664', 'ZNF692', 'ZNF76', 'ZNF792', 'ZNF843', 'ZSCAN16', 'ZSCAN18', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZSCAN5C', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,61337842,61338342,3.2441016991861025,3.2519222220599127,2.591830657323273,2.7899444340245974,2.582587312038395,2.5727066207851648,"['TM2D1', 'NFIA']","[-0.0512516436006837, -0.0981325992457596]","[0.712587019012618, 0.443568623078692]","['ATF1', 'ATF2', 'ATF7', 'CREB5', 'DLX1', 'FOXD3', 'FOXH1', 'HOXA10', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'JUN', 'MYB', 'MYBL1', 'MYBL2', 'NR2F1', 'PGR', 'PRDM14', 'RUNX1', 'SOX10', 'SOX17', 'SOX3', 'SOX6', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'ZNF652', 'ZNF711']","['ATF2', 'CTCF', 'GFI1B', 'GLIS1', 'HIC1', 'IKZF3', 'KLF8', 'PATZ1', 'PRDM1', 'SCRT2', 'TRIM28', 'WT1', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZEB2', 'ZFHX2', 'ZFP37', 'ZFP69B', 'ZNF184', 'ZNF2', 'ZNF24', 'ZNF335', 'ZNF394', 'ZNF558', 'ZNF600', 'ZNF629', 'ZNF654', 'ZNF660', 'ZNF692', 'ZSCAN21', 'ZSCAN30', 'ZSCAN4', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,69263739,69264239,1.8293574719584271,1.6779882708864249,1.7983569270438802,1.6803942524272333,1.887918933006362,1.7077477707066084,"['DEPDC1', 'LRRC7']","[-0.210421815394471, 0.271588744411508]","[0.0654155747881347, 0.243713202804744]","['ATF4', 'DDIT3', 'E2F3', 'ELK4', 'EOMES', 'ETV1', 'FLI1', 'FOXK1', 'FOXK2', 'FOXO1', 'GABPA', 'HLF', 'HOXC9', 'ISL1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NFIL3', 'NKX3-1', 'NKX3-2', 'NR2F1', 'NR2F2', 'NR2F6', 'PBX2', 'PDX1', 'PRDM10', 'SMAD3', 'SOX3', 'THRB', 'TRPS1']","['ATF2', 'BCL11A', 'BCL11B', 'CTBP1', 'FEZF1', 'GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF8', 'MZF1', 'OSR2', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SP2', 'SP3', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZEB2', 'ZFP69B', 'ZNF189', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF394', 'ZNF580', 'ZNF629', 'ZNF660', 'ZNF843', 'ZSCAN23', 'ZSCAN4']","['H3K27ac', 'H3K4me1']"
chr1,86780598,86781098,1.9548591279701524,1.5823100014842453,1.6211869176363678,1.883104619657188,1.6994723811585084,1.2921116339787924,"['SELENOF', 'SH3GLB1']","[0.0774447671726158, 0.0431125076913397]","[0.55370305315166, 0.709240152276669]","['AR', 'ARNTL', 'ATF4', 'CLOCK', 'DDIT3', 'EBF1', 'EBF2', 'HLF', 'HOXA10', 'HOXD12', 'MAX', 'MNT', 'MYB', 'MYBL1', 'NFIL3', 'NFIX', 'NPAS1', 'NPAS2', 'PTF1A', 'RBPJ', 'RFX6', 'RUNX1', 'RUNX2', 'ZFP809', 'ZIC1', 'ZNF416', 'ZNF652']","['CTCF', 'FEZF1', 'IKZF3', 'OSR2', 'PATZ1', 'PRDM10', 'PRDM6', 'SP7', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB20', 'ZBTB48', 'ZEB2', 'ZFP69B', 'ZIC2', 'ZNF24', 'ZNF335', 'ZNF366', 'ZNF384', 'ZNF558', 'ZNF600', 'ZNF654', 'ZNF692', 'ZNF770', 'ZNF785', 'ZSCAN21', 'ZSCAN30']",['H3K27ac']
chr1,91792767,91793267,1.4418778632631877,1.634232627311281,1.326475846850188,1.2654514276947626,1.7048387206950204,1.268752479427969,"['TGFBR3', 'CDC7']","[0.0543031206682963, -0.258504499698293]","[0.700766733548848, 0.0026531236601204]","['AR', 'CDX4', 'DLX1', 'FOXO1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD10', 'HOXD11', 'HOXD13', 'IRF4', 'KLF10', 'MEF2B', 'MYB', 'MYBL2', 'NFYA', 'NKX6-1', 'P300', 'PITX1', 'POU1F1', 'RBPJ', 'TAL1', 'TBX5', 'TGIF1', 'TGIF2', 'THRA', 'THRB', 'ZIC1', 'ZIC2', 'ZIC3']","['CTCF', 'GLIS1', 'INSM2', 'KLF1', 'KLF10', 'KLF16', 'PATZ1', 'PRDM1', 'SCRT2', 'SP7', 'TRIM28', 'ZBTB12', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZBTB48', 'ZEB2', 'ZNF335', 'ZNF341', 'ZNF394', 'ZNF449', 'ZNF561', 'ZNF600', 'ZNF629', 'ZNF664', 'ZSCAN21']",['H3K4me1']
chr1,112819054,112819554,2.509095607863899,3.1765278145389613,2.277185358839509,2.297243028971728,2.7020065712111,2.3338662842087503,['SLC16A1'],[0.0832843509024378],[0.489544411221881],"['ARNTL', 'ASCL1', 'ATF1', 'ATF2', 'ATF7', 'BHLHA15', 'BHLHE41', 'CLOCK', 'CREB5', 'CRX', 'EBF2', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXH1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HLF', 'HOXA10', 'HOXA9', 'HOXB4', 'HOXC9', 'HOXD10', 'HOXD11', 'HOXD12', 'JUN', 'MAFA', 'MAFB', 'MITF', 'NFIL3', 'NKX3-1', 'PBX2', 'PITX1', 'PTF1A', 'SIX1', 'SIX2', 'SPI1', 'TAL1', 'TBX21', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TFE3', 'TRPS1', 'TWIST1', 'TWIST2', 'USF1', 'USF2', 'ZIC3', 'ZNF7']","['ATF2', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'IKZF3', 'KLF10', 'KLF16', 'MAZ', 'OSR2', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'SP7', 'TRIM28', 'TSHZ1', 'WT1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZFP69B', 'ZIC2', 'ZNF10', 'ZNF189', 'ZNF2', 'ZNF24', 'ZNF366', 'ZNF513', 'ZNF518A', 'ZNF558', 'ZNF600', 'ZNF610', 'ZNF629', 'ZNF639', 'ZNF692', 'ZNF843', 'ZSCAN21', 'ZSCAN23', 'ZSCAN30', 'ZSCAN4', 'ZXDB']",['H3K27ac']
