chrom,start,end,CC_R1,CC_R2,CC_R3,16P12_1_R1,16P12_1_R2,16P12_1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144150,1144949,8.49571261756803,7.11678696927237,6.480434167678195,5.830461884380337,4.209053792446019,5.970727873867379,['C1orf159'],[-0.128849032595176],[0.400834750838454],"['ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'BHLHA15', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF5', 'MAZ', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,1907084,1907650,7.038058145929342,6.649683468088213,7.632429170414157,5.361171001925044,6.464836144851911,8.566908595369643,['CALML6'],[0.310592424997767],[0.605197389424031],"['AR', 'ATF4', 'BCL6', 'CTCFL', 'DDIT3', 'EBF1', 'EBF2', 'FOXD3', 'FOXM1', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'PLAGL1', 'RARA', 'RFX6', 'SMAD3', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZFX', 'ZNF165', 'ZNF263', 'ZNF415', 'ZNF416', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,2290682,2291250,3.660195062949717,3.164714266640685,2.866581465475799,2.6885872487265887,2.5657249803557693,2.767463146485334,,,,"['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170787,3171287,4.770827302179884,4.235694832945326,4.458592312912862,3.562138118060166,3.210483330092268,3.396411763301782,,,,"['AR', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'ISL1', 'MEIS1', 'NANOG', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['EGR2', 'GLIS1', 'GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7953950,7954551,4.582692906105127,5.789568557691745,4.0389915448009495,5.556837656407392,5.499252471275825,5.390352664359353,['PARK7'],[0.002112442552211],[0.996408100627317],"['AR', 'ATF1', 'E2F4', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'NFYA', 'NR2F1', 'NR2F2', 'NR2F6', 'RARA', 'RBPJ', 'SP1', 'SP2', 'SP5', 'TAL1', 'THRB', 'ZNF416']",,"['H3K27ac', 'H3K4me3']"
chr1,8449016,8449516,1.6224323786839772,1.454470154578882,1.3836640323718188,1.483606907414194,1.451895510951918,1.279435566551733,['RERE'],[-0.0969935265901649],[0.425173461811616],"['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'PITX1', 'PLAGL1', 'POU1F1', 'SMAD2', 'SMAD3', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571496,8571996,2.0483671645427286,2.513149445888548,2.2745078211330205,1.9881660391978584,2.611740112902466,2.2565897949854774,['RERE'],[-0.0969935265901649],[0.425173461811616],"['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'CUX2', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXA1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NPAS1', 'OTX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX9', 'SPDEF', 'TAL1', 'TBP', 'THRB', 'TRPS1', 'ZNF711']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9891016,9891650,2.684579131366388,2.926022143327831,3.017573293174558,3.1214740462871933,3.526492053074674,3.6114627255332894,,,,"['DLX1', 'DLX2', 'E2F3', 'EBF1', 'EHF', 'ELF4', 'EN1', 'ERG', 'ETV1', 'ETV4', 'FLI1', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD13', 'KLF14', 'KLF6', 'LHX1', 'LHX2', 'NANOG', 'NKX6-1', 'NR2F1', 'NR2F2', 'NR2F6', 'P300', 'PLAGL1', 'PRDM15', 'RARA', 'RBPJ', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,13797229,13797729,2.191994720775244,2.036500224755624,2.380250159747366,2.1197180144844507,2.181235545659073,2.14728687852664,,,,"['ASCL1', 'ASCL2', 'BHLHE41', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'DMRT1', 'EN1', 'HOXA11', 'HOXA13', 'HOXA9', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NEUROG2', 'NFIX', 'NKX2-1', 'NKX3-1', 'NKX3-2', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'PITX1', 'PLAGL1', 'PTF1A', 'SNAI1', 'SNAI2', 'TAL1', 'TBX5', 'TCF12', 'TCF3', 'TGIF1', 'TGIF2', 'ZEB1', 'ZFX', 'ZIC1', 'ZNF711']","['FEZF1', 'GFI1B', 'OSR2', 'SP7', 'ZIC2']",['H3K4me1']
chr1,14732849,14733747,4.895322577953909,5.064958609634762,6.38550489437461,6.643046452174937,6.746413593774685,7.679774347088422,,,,"['AR', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EBF1', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'EN1', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXH1', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MAZ', 'NANOG', 'NKX2-2', 'NKX3-2', 'NKX6-1', 'PBX2', 'PDX1', 'PRDM15', 'RFX2', 'RFX6', 'SMAD3', 'SPI1', 'SPIB', 'STAT3', 'STAT4', 'THRB', 'TP53', 'TP63', 'TP73', 'ZNF189']","['PRDM10', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZFHX2', 'ZIC2', 'ZNF189']",['H3K27ac']
