chrom,start,end,CC_R1,CC_R2,CC_R3,FOXA1_R1,FOXA1_R2,FOXA1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144149,1145051,8.664187557477499,7.27043515754236,6.501538440427019,14.97992711301483,11.996849983597142,11.295606067187784,['C1orf159'],[0.213682725558168],[0.084412038204155],"['ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'BHLHA15', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF5', 'KLF6', 'MAZ', 'MYB', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'RFX5', 'RFX6', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP2A', 'TFAP2C', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'KLF8', 'KLF9', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,1907082,1907761,7.199863336526789,6.569093019231701,7.810564073948233,11.881895461386693,11.983031181969729,12.070567871852957,['CALML6'],[0.261752651906862],[0.618193210883745],"['ATF4', 'CTCFL', 'DDIT3', 'EBF1', 'GFI1B', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'OTX2', 'PITX1', 'PLAGL1', 'PRDM10', 'RARA', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZBTB7A', 'ZFX', 'ZIC1', 'ZNF165', 'ZNF263', 'ZNF416', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZFHX2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,3170806,3171306,4.741070639891516,4.212164278156384,4.514695313588373,5.089331011167246,5.202457615869169,5.593677794273319,,,,"['AR', 'ARNTL', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'ISL1', 'MEIS1', 'NKX2-1', 'NKX2-5', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7953950,7954550,4.591174143269913,5.778984337293771,4.044795033912887,8.392647441813383,6.998526252062755,6.734008531053144,"['PARK7', 'TNFRSF9']","[0.116668992384843, -0.578658360944507]","[0.305552499898542, 0.19138478045314]","['AR', 'ATF1', 'E2F4', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'NFYA', 'NR2F1', 'NR2F2', 'NR2F6', 'RARA', 'RBPJ', 'SP1', 'SP2', 'SP5', 'TAL1', 'THRB', 'ZNF416']",,"['H3K27ac', 'H3K4me3']"
chr1,8449016,8449516,1.6224323786839772,1.454470154578882,1.3836640323718188,1.4614939129825462,1.5200198412720594,1.2848587044850548,['RERE'],[0.108697255024488],[0.292947891949765],"['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'PITX1', 'PLAGL1', 'POU1F1', 'SMAD2', 'SMAD3', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571491,8571991,2.0445113830688264,2.487202475208282,2.253431782289661,1.7342288381041386,2.129036258862827,1.7171989357688522,['RERE'],[0.108697255024488],[0.292947891949765],"['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXA1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NPAS1', 'OTX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX9', 'SPDEF', 'TAL1', 'TBP', 'THRB', 'TRPS1', 'ZNF711']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532867,9533367,3.1150887230745643,2.4896345458649303,3.099230147611161,2.771863962094692,2.358378010997944,3.1295025545053368,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'MYB', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,9891024,9891650,2.6916779589237616,2.925995227972183,3.036075088290959,4.250020166822477,4.764104544051016,4.608522600655033,,,,"['DLX1', 'DLX2', 'E2F3', 'EBF1', 'EHF', 'ELF4', 'EN1', 'ERG', 'ETV1', 'ETV4', 'FLI1', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD13', 'KLF14', 'KLF6', 'LHX1', 'LHX2', 'NANOG', 'NKX6-1', 'NR2F1', 'NR2F2', 'NR2F6', 'P300', 'PLAGL1', 'PRDM15', 'RARA', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,13797226,13797726,2.191994720775244,2.036500224755624,2.380250159747366,1.6349103065584534,1.688794458130543,1.8073641952866757,,,,"['ASCL1', 'ASCL2', 'BHLHE41', 'CRX', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'DMRT1', 'EN1', 'HOXA11', 'HOXA13', 'HOXA9', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NEUROG2', 'NFIX', 'NKX2-1', 'NKX3-1', 'NKX3-2', 'NKX6-1', 'NPAS4', 'OLIG2', 'PDX1', 'PITX1', 'PLAGL1', 'PTF1A', 'SNAI1', 'SNAI2', 'TAL1', 'TBX5', 'TCF12', 'TCF3', 'TGIF1', 'TGIF2', 'ZEB1', 'ZFX', 'ZIC1', 'ZNF711']","['FEZF1', 'GFI1B', 'OSR2', 'SP7', 'ZIC2']",['H3K4me1']
chr1,14732849,14733750,4.89532257795391,5.064958609634763,6.38550489437461,10.071314631877,9.610168501952623,11.717236283287548,,,,"['AR', 'DLX1', 'DLX5', 'EBF1', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXH1', 'HOXA11', 'HOXA9', 'HOXD10', 'HOXD11', 'KLF1', 'KLF5', 'LHX2', 'MAZ', 'NANOG', 'NKX2-2', 'NKX3-2', 'NKX6-1', 'PBX2', 'PDX1', 'PRDM15', 'RFX2', 'RFX6', 'SMAD3', 'SPI1', 'SPIB', 'STAT3', 'STAT4', 'THRB', 'TP53', 'TP63', 'TP73', 'ZNF189']","['PRDM10', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB44', 'ZFHX2', 'ZIC2', 'ZNF189']",['H3K27ac']
