chrom,start,end,CC_R1,CC_R2,CC_R3,ATF2_R1,ATF2_R2,ATF2_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1907082,1907650,7.001591523411577,6.655784095123157,7.49108788948056,5.412130391544332,3.72208720942808,3.3666460024796088,"['CALML6', 'GNB1']","[-0.641880204174025, 0.348382391402167]","[0.126151069177071, 1.01293497488413e-06]","['AR', 'ATF4', 'BCL6', 'CTCFL', 'DDIT3', 'EBF1', 'EBF2', 'FOXD3', 'FOXM1', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'PLAGL1', 'RARA', 'RFX6', 'SMAD3', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZFX', 'ZNF165', 'ZNF263', 'ZNF415', 'ZNF416', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,8449024,8449524,1.4419233543965,1.335572805903732,1.297095685735656,1.1673651460690169,1.1244390225216951,1.0302554920882856,"['RERE', 'SLC45A1']","[0.371350722513766, 2.87013284671659]","[3.99268080785486e-05, 3.73194625601958e-07]","['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'IRF3', 'IRF8', 'LEF1', 'PITX1', 'PLAGL1', 'POU1F1', 'SMAD2', 'SMAD3', 'SPI1', 'SPIB', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571494,8571994,2.035278556462583,2.4797890550139208,2.264842773734438,1.3227101958190175,1.9813779329011607,1.79465154745197,"['RERE', 'SLC45A1']","[0.371350722513766, 2.87013284671659]","[3.99268080785486e-05, 3.73194625601958e-07]","['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXA1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NPAS1', 'OTX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX9', 'SPDEF', 'TAL1', 'TBP', 'THRB', 'TRPS1', 'ZNF711']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532836,9533336,3.040780433596299,2.420877830415979,2.9851730710287736,1.834434746067371,1.3453882382748088,1.7838137948728596,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'MYB', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TFCP2L1', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,9891015,9891550,2.638059461221105,2.854166774829176,2.9327333454483173,1.4006504959988866,1.268285617718224,1.1275901061979596,['CTNNBIP1'],[0.144103620970416],[0.208314834089438],"['E2F3', 'EBF1', 'KLF14', 'KLF6', 'MEIS1', 'NR2F1', 'NR2F2', 'NR2F6', 'OLIG2', 'PGR', 'PLAGL1', 'PRDM15', 'RBPJ', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,10319843,10320343,2.117047248036237,2.520087079413718,3.079484067686204,2.19622172497727,1.6251662749031683,2.110780346980189,,,,"['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'SIX2', 'SIX4', 'SOX6', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
chr1,13762633,13763133,1.864073872075118,1.6120986790976912,1.5816592183684512,1.0550920864323796,1.30828705649064,1.3629491333617134,,,,"['AR', 'ASCL1', 'ASCL2', 'BHLHA15', 'HOXA11', 'MAFB', 'MAFK', 'MYF5', 'MYOD1', 'MYOG', 'NKX3-1', 'PTF1A', 'SMAD3', 'TAL1', 'TBP', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'TWIST2', 'ZBTB18', 'ZNF263', 'ZNF341']","['PRDM10', 'ZNF263', 'ZNF600', 'ZNF664']","['H3K27ac', 'H3K4me1']"
chr1,16176321,16176857,1.915346260913389,1.6208977523754384,1.6809747821688037,1.2109726022545015,1.0492556398164472,1.146393383923692,"['ARHGEF19', 'EPHA2']","[-0.780063027091296, 1.17815405166087]","[0.0001483279442524, 3.14747182314789e-14]","['ASCL1', 'ATOH1', 'DMC1', 'EBF1', 'EGR1', 'ERG', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXD3', 'FOXO1', 'GABPA', 'GLI3', 'HOXA13', 'KLF14', 'MAZ', 'NEUROG2', 'PITX1', 'SMAD3', 'SMAD4', 'TAL1', 'TBP', 'TWIST2', 'ZNF263', 'ZNF415']","['BCL11A', 'GFI1B', 'INSM2', 'KLF8', 'PATZ1', 'PRDM1', 'PRDM10', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZEB2', 'ZFP69B', 'ZNF18', 'ZNF2', 'ZNF266', 'ZNF324', 'ZNF335', 'ZNF366', 'ZNF391', 'ZNF561', 'ZNF596', 'ZNF623', 'ZNF629', 'ZNF660', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,17443213,17443778,3.0299211991351496,2.9257209759121974,3.629114309106877,0.7930063122972576,1.7362945215548542,1.4168027482259906,,,,"['AR', 'ATF3', 'BATF', 'ELK4', 'EN1', 'FOSL1', 'FOSL2', 'HOXA10', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'HOXD12', 'HOXD13', 'JUN', 'JUNB', 'NFYA', 'PITX1', 'RELA', 'TGIF1', 'TGIF2', 'THRB']","['ZEB2', 'ZIC2', 'ZNF121', 'ZNF366', 'ZNF449', 'ZNF768']",['H3K27ac']
chr1,24972137,24972750,7.8999388661099825,8.367260004122912,8.624686908548181,2.5004397175695368,2.3153790172959794,2.2808843228776845,,,,"['CUX2', 'EHF', 'ESRRB', 'FOXK2', 'FOXO1', 'GATA3', 'NR2F2', 'NR2F6', 'ONECUT1', 'ONECUT2', 'POU1F1', 'RELA', 'SMAD3', 'SOX17', 'SPI1', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'THRB', 'TP53', 'TP63', 'TP73', 'TRPS1', 'TWIST2', 'ZFP809', 'ZNF189', 'ZNF263', 'ZNF341', 'ZNF416', 'ZNF467']","['TRIM28', 'ZBTB17']",['H3K27ac']
