chrom,start,end,CC_R1,CC_R2,CC_R3,SCRT1_R1,SCRT1_R2,SCRT1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1144149,1144948,8.489927317862502,7.121864947844809,6.480434167678195,6.430936273068054,6.624510971717079,9.154860036318036,['C1orf159'],[0.0608344977271196],[0.762436695844295],"['ASCL1', 'ASCL2', 'ATF4', 'BCL6', 'BHLHA15', 'DDIT3', 'ERG', 'FOXA2', 'FOXK2', 'FOXO1', 'HAND2', 'HLF', 'KLF5', 'MAZ', 'NFIX', 'PLAGL1', 'PTF1A', 'RFX1', 'SMAD3', 'SNAI1', 'TAL1', 'TBX5', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZIC1', 'ZNF711']","['KLF1', 'KLF17', 'L3MBTL2', 'PRDM10', 'SP2', 'ZBTB20', 'ZBTB8A', 'ZFP69B', 'ZFX', 'ZIC2', 'ZNF335', 'ZNF600', 'ZNF692']",['H3K27ac']
chr1,1907082,1907650,7.001591523411577,6.655784095123157,7.49108788948056,8.3591312977489,9.0404624149102,9.672076923789296,['CALML6'],[-0.0435859938725],[0.966278887003464],"['AR', 'ATF4', 'BCL6', 'CTCFL', 'DDIT3', 'EBF1', 'EBF2', 'FOXD3', 'FOXM1', 'GLI2', 'GLI3', 'HLF', 'HOXA9', 'KLF1', 'KLF14', 'KLF3', 'KLF5', 'KLF6', 'MAZ', 'NR2F1', 'PLAGL1', 'RARA', 'RFX6', 'SMAD3', 'SP2', 'SP5', 'TAL1', 'TFAP2A', 'TFAP2C', 'THRB', 'ZFX', 'ZNF165', 'ZNF263', 'ZNF415', 'ZNF416', 'ZNF711']","['ATF2', 'BCL11A', 'BCL11B', 'BCL6B', 'FEZF1', 'GLIS1', 'GLIS2', 'KLF1', 'KLF16', 'KLF7', 'KLF9', 'L3MBTL2', 'MAZ', 'PATZ1', 'PRDM10', 'PRDM4', 'PRDM6', 'REST', 'SCRT2', 'SP2', 'SP7', 'TRIM28', 'WT1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB26', 'ZBTB48', 'ZBTB6', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF19', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF335', 'ZNF362', 'ZNF391', 'ZNF394', 'ZNF398', 'ZNF416', 'ZNF423', 'ZNF449', 'ZNF501', 'ZNF558', 'ZNF585B', 'ZNF600', 'ZNF624', 'ZNF76', 'ZNF785', 'ZNF791', 'ZNF837', 'ZSCAN16', 'ZSCAN5A']",['H3K27ac']
chr1,2290683,2291250,3.660195062949717,3.1647142666406856,2.873676964152719,3.289398399905611,3.350704929755568,2.970126401301137,,,,"['ERG', 'ETS1', 'FLI1', 'HINFP', 'ISL1', 'KLF14', 'MAZ', 'NANOG', 'NFIA', 'NFIX', 'NKX6-1', 'NR2E1', 'RFX6', 'SMAD3', 'ZFX', 'ZIC1', 'ZNF263', 'ZNF711']","['BCL6B', 'ZBTB44', 'ZNF341', 'ZNF449', 'ZNF600', 'ZNF623', 'ZNF629']",['H3K4me1']
chr1,3170808,3171308,4.741070639891516,4.208886329301787,4.514695313588373,4.037281897172636,4.070798435153011,4.467378292398273,,,,"['AR', 'ARNTL', 'EBF1', 'EBF2', 'GLI2', 'GLI3', 'HOXA11', 'HOXA13', 'ISL1', 'MEIS1', 'NKX2-1', 'NKX2-5', 'NPAS1', 'PBX3', 'PGR', 'PLAGL1', 'SMAD2', 'SMAD3', 'SMAD4', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRA', 'ZBTB7A', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263']","['GLIS2', 'KLF1', 'KLF17', 'PATZ1', 'TRIM28', 'ZBTB8A', 'ZFHX2', 'ZFP69B', 'ZNF10', 'ZNF335', 'ZNF341', 'ZNF423', 'ZNF600', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,7954050,7954550,4.644094612804666,5.773346337539296,3.983967262416793,3.3153389498240102,3.63295006150617,5.7575728908649415,"['PARK7', 'TNFRSF9']","[-0.0462138182673371, 0.163223964732927]","[0.796802863686626, 0.812138863925292]","['AR', 'ATF1', 'E2F4', 'EBF2', 'ELF1', 'ELF4', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GLI3', 'KLF1', 'KLF14', 'KLF5', 'KLF6', 'KLF9', 'MAZ', 'NFYA', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NR2F2', 'RBPJ', 'SMAD2', 'SMAD3', 'SMAD4', 'SP1', 'SP2', 'SP5', 'THRB', 'WT1', 'ZBTB7A', 'ZIC2', 'ZNF416', 'ZNF467']",,"['H3K27ac', 'H3K4me3']"
chr1,8449015,8449515,1.630956541794401,1.450474357450918,1.3836640323718188,1.667538888746328,1.5335017173488352,1.418210239922532,"['RERE', 'SLC45A1']","[0.029797133329971, 0.298305845418518]","[0.864943572074782, 0.810032919547377]","['AR', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'FLI1', 'FOXA1', 'FOXD3', 'FOXM1', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'IRF3', 'IRF8', 'LEF1', 'PITX1', 'PLAGL1', 'POU1F1', 'SMAD2', 'SMAD3', 'SPI1', 'SPIB', 'SRF', 'TGIF2', 'TP63']","['BCL6B', 'FEZF1', 'OSR2', 'PRDM4', 'TRIM28']","['H3K27ac', 'H3K4me1']"
chr1,8571489,8571989,2.037341643513339,2.484134316010195,2.2398048106450776,2.0601855894323164,2.4323670727515,2.094775715999184,"['RERE', 'SLC45A1']","[0.029797133329971, 0.298305845418518]","[0.864943572074782, 0.810032919547377]","['ARNTL', 'BHLHE41', 'CDX4', 'CRX', 'EHF', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK4', 'ERG', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'FOXA1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GSC', 'HOXA11', 'HOXA13', 'HOXB13', 'HOXD11', 'HOXD13', 'LEF1', 'MEF2B', 'MEF2C', 'MEF2D', 'MYB', 'MYBL2', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NPAS1', 'OTX2', 'PITX1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX9', 'SPDEF', 'TAL1', 'TBP', 'THRB', 'TRPS1', 'ZNF711']","['ZBTB17', 'ZXDB']",['H3K4me1']
chr1,9532881,9533381,3.173698740139333,2.546193410291463,3.151942516337642,3.257423663539036,2.261430945330693,2.9256541202251314,,,,"['EBF1', 'EBF2', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'FOXO1', 'GLI2', 'GLI3', 'GRHL2', 'ISL1', 'NR2F2', 'PLAGL1', 'PRDM15', 'RARA', 'TAL1', 'TBR1', 'TBX5', 'TFAP2A', 'TFAP2C', 'THRB', 'ZEB1', 'ZFX', 'ZIC1', 'ZIC2', 'ZIC3', 'ZNF263', 'ZNF416', 'ZNF711']","['GLIS1', 'ZBTB44', 'ZFX', 'ZIC2']",['H3K27ac']
chr1,9890949,9891650,2.74710867430823,2.8655516701276595,3.060836986030021,4.322457706346098,4.821793402755239,3.903784871646597,['CTNNBIP1'],[0.0414844415532342],[0.863309705072416],"['DLX2', 'E2F3', 'EBF1', 'EN1', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD13', 'KLF14', 'KLF6', 'LHX1', 'LHX2', 'MEIS1', 'NKX6-1', 'NR2F1', 'NR2F2', 'NR2F6', 'P300', 'PLAGL1', 'PRDM15', 'RBPJ', 'SF1', 'TBX5', 'TFAP2A', 'TFAP2C', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'ZFP809', 'ZFX', 'ZNF341', 'ZNF416', 'ZNF711']","['FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'MAZ', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB6', 'ZBTB8A', 'ZEB2', 'ZIC2', 'ZNF121', 'ZNF18', 'ZNF335', 'ZNF341', 'ZNF362', 'ZNF398', 'ZNF629', 'ZNF660', 'ZNF680']","['H3K27ac', 'H3K4me1']"
chr1,10319843,10320343,2.117047248036237,2.520087079413718,3.079484067686204,2.454864798721244,2.427727246227577,2.664295583426725,,,,"['EHF', 'ELF4', 'EOMES', 'ERG', 'ETS1', 'ETV1', 'FLI1', 'FOXD3', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'MYB', 'NANOG', 'NKX2-1', 'NKX2-2', 'SIX2', 'SIX4', 'SOX6', 'TRPS1', 'ZFX', 'ZNF711']","['PRDM1', 'ZNF513']",['H3K4me1']
