chrom,start,end,CC_R1,CC_R2,CC_R3,SCRT1_R1,SCRT1_R2,SCRT1_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,1250645,1251226,3.354573893696555,3.801467086210496,4.208757344666647,5.296143500944906,5.065939262119667,4.92419913280713,['C1QTNF12'],[-0.373546714809065],[0.31808062469904],"['AR', 'ASCL1', 'ASCL2', 'ATOH1', 'BHLHA15', 'DMC1', 'MAFB', 'MEIS1', 'MYF5', 'MYOD1', 'MYOG', 'NFATC1', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'PTF1A', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'TAL1', 'TBX5', 'TBX6', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'TGIF1', 'TGIF2', 'TWIST2', 'ZNF416']","['BCL11A', 'PATZ1', 'TRIM28', 'ZBTB17', 'ZBTB44', 'ZBTB6', 'ZFHX2', 'ZNF263', 'ZNF394', 'ZNF600', 'ZNF692', 'ZSCAN21']",['H3K27ac']
chr1,3405109,3405609,4.342288688686143,4.689405930409386,5.035441609848419,3.613474451830377,4.825851923659865,6.362749395682247,"['PRDM16', 'ARHGEF16']","[0.0159602800920296, -0.120974889153118]","[0.958719024014433, 0.53842441593279]","['AR', 'ARNTL', 'GLI3', 'HINFP', 'ISL1', 'KLF14', 'MYB', 'NFIX', 'NPAS1', 'PRDM14', 'RARA', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX6', 'SP2', 'TFCP2L1', 'TP53', 'TP63', 'TP73', 'ZFX', 'ZNF711']","['ZNF263', 'ZNF449', 'ZNF770']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,6414640,6415140,4.346418285773577,4.497345828506271,5.467258315375791,9.69194613286835,8.527953926273954,8.387763051813886,"['HES2', 'ACOT7']","[0.0114689094531829, 0.100155435186031]","[0.992185980721263, 0.481705332785414]","['CRX', 'EBF2', 'FOXD3', 'GRHL2', 'HOXD11', 'NANOG', 'NFYA', 'NKX2-1', 'NKX2-2', 'NKX3-2', 'PITX1', 'PLAGL1', 'SMAD3', 'SOX3', 'SOX9', 'TEAD1', 'TEAD2', 'TEAD3', 'TEAD4', 'WT1', 'ZEB1', 'ZNF136']","['CTCF', 'EGR2', 'GLIS1', 'GLIS2', 'KLF16', 'KLF17', 'KLF9', 'L3MBTL2', 'PATZ1', 'PRDM4', 'SP7', 'ZBTB17', 'ZBTB20', 'ZBTB6', 'ZBTB8A', 'ZFHX2', 'ZIC2', 'ZNF223', 'ZNF239', 'ZNF266', 'ZNF335', 'ZNF423', 'ZNF561', 'ZNF680', 'ZNF770', 'ZSCAN18', 'ZSCAN4']","['H3K27ac', 'H3K4me1']"
chr1,8911381,8911881,1.4271391720870177,1.5833659036463157,2.016057294400562,2.798440932593991,2.52255201213068,2.604686249133883,['ENO1'],[0.253411910900283],[0.0383537223370935],"['DLX1', 'EBF1', 'EOMES', 'FOXD3', 'HOXA10', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD12', 'HOXD13', 'ISL1', 'NANOG', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'PRDM1', 'PRDM15', 'RARA', 'SOX2', 'SOX3', 'TBP', 'TBR1', 'TBX5', 'TBX6', 'TBXT', 'TFAP2A', 'TFAP2C', 'TP53', 'TP63', 'TP73', 'ZNF263', 'ZNF467']","['GLIS1', 'ZNF558']",['H3K4me1']
chr1,10339603,10340103,2.7672321424265087,3.3346774388555454,2.7595474017733066,2.6888811271947617,2.578026592230092,3.3659458975420016,"['PGD', 'KIF1B']","[-0.0911091100022997, 0.100017291587478]","[0.515215792332627, 0.490151135545732]","['ARNTL', 'ATOH1', 'BHLHA15', 'CDX4', 'ELF4', 'EOMES', 'ERG', 'ESRRA', 'ETS1', 'ETV1', 'ETV2', 'ETV4', 'FLI1', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD11', 'NEUROG2', 'NFIX', 'NKX2-5', 'NPAS1', 'OLIG2', 'PGR', 'PLAGL1', 'RARA', 'RELA', 'SOX10', 'SOX15', 'SOX17', 'SOX2', 'SOX3', 'SOX4', 'SOX6', 'SOX7', 'SPI1', 'TAL1', 'TBR1', 'TBX5', 'TBX6', 'TCF4', 'TGIF2', 'TRPS1', 'TWIST2', 'ZBTB7A']","['ATF2', 'GLIS1', 'KLF1', 'KLF8', 'KLF9', 'PRDM1', 'PRDM10', 'ZBTB21', 'ZNF366', 'ZNF629', 'ZNF660']",['H3K4me1']
chr1,18922584,18923151,2.411922943135645,1.765678509757059,2.1867364076706504,3.577645054171044,3.286805432864412,2.6830031357168407,,,,"['AR', 'BHLHA15', 'MYB', 'NANOG', 'NEUROD1', 'NEUROG2', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-2', 'OLIG2', 'PLAGL1', 'PTF1A', 'RBPJ', 'RELA', 'SOX10', 'SOX17', 'SOX2', 'SOX3', 'SOX6', 'TAL1', 'TCF4', 'THRB', 'TWIST2', 'ZNF263', 'ZNF341', 'ZNF416', 'ZNF711']","['ATF2', 'CTCF', 'EGR2', 'IKZF3', 'PRDM1', 'PRDM10', 'SP7', 'TRIM28', 'ZBTB20', 'ZBTB21', 'ZBTB48', 'ZBTB8A', 'ZNF263', 'ZNF335', 'ZNF366', 'ZNF398', 'ZNF600']","['H3K27ac', 'H3K4me1']"
chr1,23377177,23377750,2.4655286749674965,2.6076224836391724,3.044727317682495,3.236275841387501,3.087050572630949,3.201606321805349,"['ZNF436', 'TCEA3']","[0.0039668269384043, -0.874425358820382]","[0.984948596910167, 0.0715285343258711]","['AR', 'CEBPA', 'E2F3', 'E2F4', 'GRHL2', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NKX2-2', 'NKX3-2', 'PGR', 'PITX1', 'POU1F1', 'SOX3', 'TAL1', 'TBX20', 'TGIF1', 'TGIF2', 'THRB', 'ZFP57', 'ZIC1', 'ZIC3', 'ZNF264', 'ZNF7']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB8A', 'ZEB1', 'ZFHX2', 'ZFP37', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF701', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,40711428,40711928,1.471371040960838,1.7409664400969485,2.082964154506573,3.0238922504545203,2.907263672473833,2.225803488586483,"['NFYC', 'RIMS3']","[0.0487333966920883, -0.11297973091678]","[0.738798080504501, 0.70053126399742]","['ARNTL', 'ATF3', 'BATF', 'BCL6', 'EOMES', 'FOSL1', 'FOSL2', 'FOXF1', 'FOXK1', 'FOXK2', 'FOXO1', 'FOXO3', 'FOXP1', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD11', 'HOXD12', 'JUN', 'JUNB', 'LEF1', 'MAFB', 'MEF2B', 'MNT', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-2', 'NKX3-2', 'NPAS1', 'PDX1', 'SMAD3', 'STAT3', 'STAT4', 'TBR1', 'TBX21', 'TBX5', 'TBX6', 'TCF7L1', 'TEAD3', 'TGIF1', 'TGIF2', 'TP53', 'ZEB1']","['GLIS1', 'HIC1', 'IKZF3', 'INSM2', 'KLF10', 'MZF1', 'OSR2', 'PATZ1', 'PRDM1', 'PRDM10', 'PRDM6', 'SP7', 'TRIM28', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZBTB8A', 'ZEB2', 'ZFP37', 'ZNF10', 'ZNF184', 'ZNF189', 'ZNF24', 'ZNF335', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF596', 'ZNF626', 'ZNF629', 'ZNF660', 'ZNF770', 'ZSCAN21', 'ZSCAN30', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,45557372,45557872,1.421334328473722,1.6495057097885029,2.2017715274435257,2.168584262667708,2.929064759896137,2.7139920705786964,"['AKR1A1', 'NASP']","[0.0624746351445449, -0.0093405352249648]","[0.678760414652865, 0.962027426977184]","['ARNT', 'ASCL1', 'CEBPA', 'CRX', 'EHF', 'ERG', 'ESRRA', 'ISL1', 'KLF6', 'NANOG', 'NFIA', 'NFYA', 'NR2E1', 'NR2F1', 'NR2F2', 'PITX1', 'PLAGL1', 'PTF1A', 'RARA', 'SCRT1', 'SMAD3', 'SMAD4', 'SNAI1', 'SREBF2', 'TAL1', 'TCF12', 'TCF3', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'TP73', 'ZEB1', 'ZIC1', 'ZNF416']","['FEZF1', 'GFI1B', 'GLIS1', 'IKZF3', 'KLF7', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT1', 'SCRT2', 'SP7', 'ZBTB17', 'ZBTB48', 'ZBTB8A', 'ZIC2', 'ZNF366', 'ZNF394', 'ZNF629', 'ZNF843', 'ZSCAN16']","['H3K27ac', 'H3K4me1']"
chr1,46077541,46078057,1.5712874000214347,1.6602305537914457,2.248326553496355,2.327388119012061,2.8695328062310166,2.868895497428272,"['PIK3R3', 'MAST2']","[-0.0808151546938856, 0.181589057513054]","[0.699686740488571, 0.0806170991717415]","['AR', 'CEBPA', 'ESRRA', 'ESRRB', 'ESRRG', 'FOXO1', 'HLF', 'NANOG', 'NFATC1', 'NFIL3', 'NR2F1', 'NR2F2', 'NR2F6', 'PGR', 'POU1F1', 'RARA', 'TAL1', 'TBP', 'TBX5', 'THRB']","['OSR2', 'PRDM1', 'PRDM6', 'ZNF362', 'ZNF366']",['H3K4me1']
