chrom,start,end,CC_R1,CC_R2,CC_R3,CTCF_R1,CTCF_R2,CTCF_R3,Genes,logFC,FDR,Motif Name,tf,histone
chr1,936656,937156,3.265397804357213,2.650950884259068,3.5621415552022038,4.714339623612887,4.305096410925155,5.532580147516353,"['NOC2L', 'SAMD11']","[0.161773830873553, -0.651965680096626]","[0.0643525964209421, 0.0001194322330139]","['AR', 'ARNT', 'ARNTL', 'BHLHE40', 'BHLHE41', 'CLOCK', 'CUX1', 'CUX2', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EN1', 'GATA3', 'GATA4', 'GLI3', 'HOXA9', 'ISL1', 'KLF10', 'KLF6', 'LHX1', 'LHX2', 'LHX3', 'MAFA', 'MAFB', 'MAFK', 'MAX', 'MAZ', 'MNT', 'MYB', 'MYBL1', 'MYC', 'MYCN', 'NANOG', 'NKX6-1', 'NPAS1', 'NPAS2', 'ONECUT1', 'PLAGL1', 'PROP1', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SP2', 'TAL1', 'TP53', 'TP63', 'TRPS1', 'USF1', 'USF2', 'ZBTB7A', 'ZNF467']","['BCL11A', 'BCL11B', 'GLIS1', 'GLIS2', 'HIC1', 'IKZF3', 'KLF8', 'MAZ', 'PATZ1', 'SP7', 'WT1', 'YY1', 'ZBTB10', 'ZBTB17', 'ZBTB20', 'ZBTB48', 'ZBTB7A', 'ZBTB8A', 'ZNF189', 'ZNF335', 'ZNF341', 'ZNF561', 'ZNF600']","['H3K27ac', 'H3K36me3', 'H3K4me1']"
chr1,940994,941494,4.1290815440731965,3.481722996236273,3.9068359238999912,4.735985019556182,4.849114816689292,4.969723067627326,"['NOC2L', 'SAMD11']","[0.161773830873553, -0.651965680096626]","[0.0643525964209421, 0.0001194322330139]","['ASCL1', 'ASCL2', 'ATOH1', 'BHLHA15', 'EBF1', 'FOXO1', 'GLI3', 'HINFP', 'MAFA', 'MYOD1', 'MYOG', 'NEUROD1', 'NEUROG2', 'NR2F2', 'PLAGL1', 'PTF1A', 'RFX6', 'SNAI1', 'SNAI2', 'TAL1', 'TCF12', 'TCF21', 'TCF3', 'TCF4', 'TFAP4', 'THRB', 'TWIST2', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFX', 'ZNF263', 'ZNF322', 'ZNF711']","['BCL11A', 'BCL11B', 'CTCF', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'KLF7', 'KLF8', 'L3MBTL2', 'MAZ', 'MZF1', 'PATZ1', 'PRDM2', 'SP2', 'SP3', 'SP7', 'ZBTB10', 'ZBTB11', 'ZBTB20', 'ZBTB26', 'ZBTB7A', 'ZBTB8A', 'ZEB2', 'ZFP37', 'ZFX', 'ZNF121', 'ZNF2', 'ZNF335', 'ZNF341', 'ZNF391', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF677', 'ZNF770', 'ZNF843', 'ZSCAN21', 'ZXDB']","['H3K27ac', 'H3K4me1', 'H3K4me3']"
chr1,1250695,1251195,3.3079734737293367,3.903903291993523,4.24011314697802,4.366559919214023,5.268405886763363,4.600503115605362,['C1QTNF12'],[-0.606857892299999],[0.0388309890113188],"['AR', 'ASCL1', 'ASCL2', 'ATOH1', 'BHLHA15', 'DMC1', 'MAFB', 'MEIS1', 'MYF5', 'MYOD1', 'MYOG', 'NANOG', 'NFATC1', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'PTF1A', 'SMAD2', 'SMAD3', 'SMAD4', 'SP2', 'TAL1', 'TBX5', 'TBX6', 'TCF12', 'TCF21', 'TCF3', 'TFAP4', 'TGIF1', 'TGIF2', 'TWIST2', 'ZNF416']","['BCL11A', 'PATZ1', 'TRIM28', 'ZBTB17', 'ZBTB44', 'ZBTB6', 'ZFHX2', 'ZNF263', 'ZNF394', 'ZNF600', 'ZNF692', 'ZSCAN21']",['H3K27ac']
chr1,8911373,8911873,1.419019785733643,1.5313760750126972,2.0321857527557667,2.4945581847218627,2.2066829003320447,3.06492153764954,['ENO1'],[0.340060149196528],[0.001495597052254],"['EBF1', 'EOMES', 'FOXD3', 'HOXA10', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXD12', 'HOXD13', 'ISL1', 'NANOG', 'NKX2-1', 'NKX2-2', 'NKX2-5', 'NKX3-1', 'NKX3-2', 'PRDM1', 'PRDM10', 'PRDM15', 'RARA', 'SOX2', 'SOX3', 'TBP', 'TBR1', 'TBX5', 'TBX6', 'TBXT', 'TFAP2A', 'TFAP2C', 'TP53', 'TP63', 'TP73', 'ZNF263', 'ZNF467']","['GLIS1', 'ZNF558']",['H3K4me1']
chr1,23377177,23377750,2.4655286749674965,2.6076224836391724,3.044727317682495,2.772039936229935,2.693399564481364,2.9600015583149606,"['ZNF436', 'TCEA3']","[-0.0488030687637221, -0.192430804517564]","[0.665310577131471, 0.686830361586427]","['AR', 'CEBPA', 'E2F3', 'E2F4', 'GRHL2', 'MYB', 'MYBL1', 'MYBL2', 'NANOG', 'NKX2-2', 'NKX3-2', 'PGR', 'PITX1', 'POU1F1', 'SOX3', 'TAL1', 'TBX20', 'TGIF1', 'TGIF2', 'THRB', 'ZFP57', 'ZIC1', 'ZIC3', 'ZNF264', 'ZNF7']","['BCL11A', 'EGR2', 'FEZF1', 'GLIS1', 'GLIS2', 'HIC1', 'INSM2', 'KLF17', 'OSR2', 'PRDM1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP7', 'TRIM28', 'TSHZ1', 'ZBTB17', 'ZBTB20', 'ZBTB21', 'ZBTB8A', 'ZEB1', 'ZFHX2', 'ZFP37', 'ZFX', 'ZIC2', 'ZNF121', 'ZNF189', 'ZNF2', 'ZNF223', 'ZNF24', 'ZNF324', 'ZNF341', 'ZNF362', 'ZNF366', 'ZNF394', 'ZNF501', 'ZNF600', 'ZNF629', 'ZNF639', 'ZNF701', 'ZSCAN5C']","['H3K27ac', 'H3K4me1']"
chr1,46077531,46078055,1.5712874000214343,1.660230553791446,2.2441397256499926,2.117457627554941,2.3384228415888724,2.251420331947584,"['PIK3R3', 'MAST2']","[-0.480050213981307, 0.25376608000279]","[0.000483440990813, 0.0039514068381973]","['AR', 'CEBPA', 'ESRRA', 'ESRRB', 'ESRRG', 'FOXO1', 'HLF', 'NANOG', 'NFATC1', 'NFIL3', 'NR2F1', 'NR2F2', 'NR2F6', 'PGR', 'POU1F1', 'RARA', 'TAL1', 'TBP', 'TBX5', 'THRB']","['OSR2', 'PRDM1', 'PRDM6', 'ZNF362', 'ZNF366']",['H3K4me1']
chr1,64572436,64572936,2.4373234626301965,2.299531144058203,2.8060620825299263,2.953879453408115,2.8036171684543274,3.2092528514305005,"['RAVER2', 'CACHD1']","[-0.0937536254719235, 0.25053026960278]","[0.243475089394136, 0.0011883663740474]","['AR', 'CRX', 'ESRRA', 'FOXD3', 'FOXO1', 'KLF1', 'KLF5', 'MAFA', 'MEIS1', 'MYB', 'MYBL1', 'MYBL2', 'NFATC1', 'NR2F1', 'NR2F2', 'NR2F6', 'PITX1', 'PLAGL1', 'POU1F1', 'RARA', 'RBPJ', 'SMAD2', 'SMAD3', 'SMAD4', 'SOX10', 'SOX15', 'SOX17', 'SOX3', 'SOX6', 'SP2', 'SP5', 'TAL1', 'TBX20', 'TGIF1', 'TGIF2', 'THRB', 'TP53', 'TP63', 'TP73', 'WT1', 'ZFP809', 'ZNF263', 'ZNF415', 'ZNF416', 'ZNF519', 'ZNF692', 'ZNF7']","['FEZF1', 'GLIS1', 'KLF1', 'MAZ', 'PATZ1', 'PKNOX1', 'PRDM10', 'SCRT1', 'SCRT2', 'SP7', 'TRIM28', 'WT1', 'ZBTB20', 'ZBTB44', 'ZBTB48', 'ZBTB8A', 'ZFP69B', 'ZIC2', 'ZNF600', 'ZNF692', 'ZNF843', 'ZXDB']","['H3K27ac', 'H3K4me1']"
chr1,70587879,70588379,1.604654506971697,1.74381968279728,1.3090899139139949,1.8668933222779904,2.1002464019663662,1.8836250514550856,"['PTGER3', 'CTH']","[0.228572482179131, -0.325387997947767]","[0.670626091832874, 0.0001787872161511]","['ARNT', 'ARNTL', 'ATF4', 'ATOH1', 'BHLHA15', 'BHLHE40', 'BHLHE41', 'CDX2', 'CLOCK', 'CRX', 'DDIT3', 'DLX1', 'DLX2', 'DLX3', 'DLX5', 'EN1', 'HOXA11', 'HOXA13', 'HOXD11', 'HOXD13', 'ISL1', 'LHX1', 'LHX2', 'LHX3', 'MAFA', 'MAX', 'MITF', 'MNT', 'MYC', 'MYCN', 'NANOG', 'NEUROD1', 'NEUROG2', 'NFYA', 'NKX6-1', 'NPAS1', 'NPAS2', 'OLIG2', 'PHOX2A', 'PITX1', 'PROP1', 'PTF1A', 'RARA', 'TAL1', 'TCF21', 'TCF4', 'TFAP4', 'TWIST2', 'USF1', 'USF2', 'ZNF711']","['BCL11A', 'BCL6B', 'CTBP1', 'FEZF1', 'GLIS1', 'OVOL3', 'PKNOX1', 'PRDM10', 'PRDM4', 'PRDM6', 'ZBTB17', 'ZBTB20', 'ZNF580', 'ZNF843', 'ZSCAN30']",['H3K27ac']
chr1,80217551,80218051,0.8235186063800976,1.2556199642828785,1.3093595791552992,1.364304006483982,1.5902203989390822,1.508485478349722,,,,"['AR', 'CDX2', 'CDX4', 'DLX1', 'DLX2', 'EN1', 'FOXA1', 'FOXA2', 'FOXD3', 'FOXM1', 'GFI1B', 'GLI3', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXB13', 'HOXC9', 'HOXD10', 'HOXD11', 'HOXD13', 'LHX1', 'LHX3', 'MYBL2', 'MYNN', 'NFYA', 'NKX6-1', 'NR5A2', 'P300', 'PBX2', 'PGR', 'PHOX2A', 'PITX1', 'PROP1', 'RARA', 'RBPJ', 'SF1', 'SMAD3', 'SNAPC1', 'SOX6', 'STAT1', 'TBP', 'THRB', 'ZIC1', 'ZNF264']","['CTCF', 'IKZF3', 'MZF1', 'ZNF501', 'ZNF654', 'ZNF660', 'ZNF792', 'ZSCAN30']",['H3K27ac']
chr1,164787589,164788089,3.286626960436468,3.117975017313756,3.477497763296981,4.619486614104075,5.117805851628877,4.164894944524652,['PBX1'],[-0.459394775490888],[5.00621666284739e-06],"['AR', 'ARNTL', 'ATF1', 'ATF2', 'ATF7', 'CLOCK', 'CREB1', 'CREB5', 'DLX1', 'DLX2', 'DLX5', 'EN1', 'FOXH1', 'HLF', 'HOXA11', 'HOXA13', 'HOXA9', 'HOXD10', 'HOXD11', 'LHX2', 'MITF', 'MNT', 'NANOG', 'NKX6-1', 'NPAS1', 'NPAS2', 'PBX2', 'PITX1', 'POU1F1', 'PRDM10', 'RBPJ', 'SPDEF', 'SRF', 'TAL1', 'TBP', 'TBR1', 'TFCP2L1', 'TGIF1', 'TGIF2', 'TP63', 'ZEB1', 'ZIC1', 'ZNF189', 'ZNF652']","['ATF2', 'CTCF', 'FEZF1', 'GLIS1', 'IKZF3', 'INSM2', 'KLF10', 'KLF17', 'MAZ', 'MYNN', 'OSR2', 'PATZ1', 'PKNOX1', 'PRDM10', 'PRDM6', 'SCRT2', 'SP2', 'SP7', 'WT1', 'ZBTB17', 'ZBTB21', 'ZBTB44', 'ZEB2', 'ZFP37', 'ZFP69B', 'ZNF18', 'ZNF184', 'ZNF2', 'ZNF263', 'ZNF324', 'ZNF335', 'ZNF341', 'ZNF366', 'ZNF394', 'ZNF398', 'ZNF501', 'ZNF558', 'ZNF561', 'ZNF629', 'ZNF639', 'ZNF654', 'ZNF660', 'ZNF664', 'ZXDB']",['H3K27ac']
